"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.00021466,1.0051e-05,-3.8224e-06,1,0,10,1,0
0.24813,1.8539e-05,-2.8315e-06,1,0.002,10,1,0.002
0.49647,2.7028e-05,-1.8405e-06,1,0.004,10,1,0.004
0.74481,3.5516e-05,-8.4958e-07,1,0.006,10,1,0.006
0.99315,4.4004e-05,1.4137e-07,1,0.008,10,1,0.008
1.2415,5.2493e-05,1.1323e-06,1,0.01,10,1,0.01
1.4898,6.0981e-05,2.1233e-06,1,0.012,10,1,0.012
1.7382,6.947e-05,3.1142e-06,1,0.014,10,1,0.014
1.9865,7.7958e-05,4.1052e-06,1,0.016,10,1,0.016
2.2349,8.6446e-05,5.0961e-06,1,0.018,10,1,0.018
2.4832,9.4935e-05,6.0871e-06,1,0.02,10,1,0.02
2.7092,9.7876e-05,6.1913e-06,1,0.022,10,1,0.022
2.9352,0.00010082,6.2955e-06,1,0.024,10,1,0.024
3.1612,0.00010376,6.3997e-06,1,0.026,10,1,0.026
3.3872,0.0001067,6.504e-06,1,0.028,10,1,0.028
3.6132,0.00010964,6.6082e-06,1,0.03,10,1,0.03
3.8391,0.00011258,6.7124e-06,1,0.032,10,1,0.032
4.0651,0.00011553,6.8166e-06,1,0.034,10,1,0.034
4.2911,0.00011847,6.9209e-06,1,0.036,10,1,0.036
4.5171,0.00012141,7.0251e-06,1,0.038,10,1,0.038
4.7431,0.00012435,7.1293e-06,1,0.04,10,1,0.04
4.9452,0.00012567,1.0073e-05,1,0.042,10,1,0.042
5.1473,0.00012699,1.3018e-05,1,0.044,10,1,0.044
5.3494,0.00012831,1.5962e-05,1,0.046,10,1,0.046
5.5514,0.00012963,1.8906e-05,1,0.048,10,1,0.048
5.7535,0.00013095,2.185e-05,1,0.05,10,1,0.05
5.9556,0.00013227,2.4794e-05,1,0.052,10,1,0.052
6.1577,0.0001336,2.7738e-05,1,0.054,10,1,0.054
6.3598,0.00013492,3.0682e-05,1,0.056,10,1,0.056
6.5618,0.00013624,3.3626e-05,1,0.058,10,1,0.058
6.7639,0.00013756,3.657e-05,1,0.06,10,1,0.06
6.9446,0.00013841,4.0382e-05,1,0.062,10,1,0.062
7.1253,0.00013927,4.4194e-05,1,0.064,10,1,0.064
7.3059,0.00014013,4.8005e-05,1,0.066,10,1,0.066
7.4866,0.00014098,5.1817e-05,1,0.068,10,1,0.068
7.6673,0.00014184,5.5629e-05,1,0.07,10,1,0.07
7.8479,0.0001427,5.9441e-05,1,0.072,10,1,0.072
8.0286,0.00014355,6.3252e-05,1,0.074,10,1,0.074
8.2093,0.00014441,6.7064e-05,1,0.076,10,1,0.076
8.3899,0.00014527,7.0876e-05,1,0.078,10,1,0.078
8.5706,0.00014612,7.4687e-05,1,0.08,10,1,0.08
8.7309,0.00014669,7.8166e-05,1,0.082,10,1,0.082
8.8911,0.00014725,8.1645e-05,1,0.084,10,1,0.084
9.0514,0.00014782,8.5124e-05,1,0.086,10,1,0.086
9.2116,0.00014839,8.8603e-05,1,0.088,10,1,0.088
9.3719,0.00014895,9.2082e-05,1,0.09,10,1,0.09
9.5321,0.00014952,9.5561e-05,1,0.092,10,1,0.092
9.6924,0.00015008,9.904e-05,1,0.094,10,1,0.094
9.8527,0.00015065,0.00010252,1,0.096,10,1,0.096
10.013,0.00015121,0.000106,1,0.098,10,1,0.098
10.173,0.00015178,0.00010948,1,0.1,10,1,0.1
10.314,0.00015213,0.00011285,1,0.102,10,1,0.102
10.455,0.00015248,0.00011622,1,0.104,10,1,0.104
10.596,0.00015283,0.00011959,1,0.106,10,1,0.106
10.737,0.00015318,0.00012296,1,0.108,10,1,0.108
10.879,0.00015353,0.00012634,1,0.11,10,1,0.11
11.02,0.00015388,0.00012971,1,0.112,10,1,0.112
11.161,0.00015423,0.00013308,1,0.114,10,1,0.114
11.302,0.00015458,0.00013645,1,0.116,10,1,0.116
11.443,0.00015493,0.00013982,1,0.118,10,1,0.118
11.584,0.00015528,0.0001432,1,0.12,10,1,0.12
11.707,0.00015547,0.00014648,1,0.122,10,1,0.122
11.83,0.00015567,0.00014977,1,0.124,10,1,0.124
11.953,0.00015586,0.00015306,1,0.126,10,1,0.126
12.076,0.00015606,0.00015635,1,0.128,10,1,0.128
12.199,0.00015625,0.00015963,1,0.13,10,1,0.13
12.323,0.00015645,0.00016292,1,0.132,10,1,0.132
12.446,0.00015665,0.00016621,1,0.134,10,1,0.134
12.569,0.00015684,0.0001695,1,0.136,10,1,0.136
12.692,0.00015704,0.00017278,1,0.138,10,1,0.138
12.815,0.00015723,0.00017607,1,0.14,10,1,0.14
12.921,0.00015732,0.00017918,1,0.142,10,1,0.142
13.027,0.00015741,0.00018229,1,0.144,10,1,0.144
13.134,0.0001575,0.0001854,1,0.146,10,1,0.146
13.24,0.00015759,0.00018851,1,0.148,10,1,0.148
13.346,0.00015768,0.00019162,1,0.15,10,1,0.15
13.453,0.00015777,0.00019473,1,0.152,10,1,0.152
13.559,0.00015786,0.00019784,1,0.154,10,1,0.154
13.665,0.00015795,0.00020095,1,0.156,10,1,0.156
13.771,0.00015804,0.00020406,1,0.158,10,1,0.158
13.878,0.00015813,0.00020717,1,0.16,10,1,0.16
13.968,0.00015815,0.00020998,1,0.162,10,1,0.162
14.059,0.00015818,0.0002128,1,0.164,10,1,0.164
14.149,0.0001582,0.00021561,1,0.166,10,1,0.166
14.24,0.00015822,0.00021843,1,0.168,10,1,0.168
14.331,0.00015825,0.00022124,1,0.17,10,1,0.17
14.421,0.00015827,0.00022405,1,0.172,10,1,0.172
14.512,0.00015829,0.00022687,1,0.174,10,1,0.174
14.602,0.00015831,0.00022968,1,0.176,10,1,0.176
14.693,0.00015834,0.0002325,1,0.178,10,1,0.178
14.784,0.00015836,0.00023531,1,0.18,10,1,0.18
14.86,0.00015835,0.00023771,1,0.182,10,1,0.182
14.936,0.00015834,0.00024011,1,0.184,10,1,0.184
15.012,0.00015832,0.00024251,1,0.186,10,1,0.186
15.088,0.00015831,0.00024491,1,0.188,10,1,0.188
15.164,0.0001583,0.00024731,1,0.19,10,1,0.19
15.24,0.00015829,0.00024971,1,0.192,10,1,0.192
15.316,0.00015827,0.00025211,1,0.194,10,1,0.194
15.392,0.00015826,0.00025452,1,0.196,10,1,0.196
15.468,0.00015825,0.00025692,1,0.198,10,1,0.198
15.544,0.00015824,0.00025932,1,0.2,10,1,0.2
15.607,0.00015822,0.00026119,1,0.202,10,1,0.202
15.669,0.00015819,0.00026307,1,0.204,10,1,0.204
15.732,0.00015817,0.00026495,1,0.206,10,1,0.206
15.794,0.00015815,0.00026683,1,0.208,10,1,0.208
15.857,0.00015813,0.00026871,1,0.21,10,1,0.21
15.919,0.00015811,0.00027058,1,0.212,10,1,0.212
15.982,0.00015809,0.00027246,1,0.214,10,1,0.214
16.045,0.00015807,0.00027434,1,0.216,10,1,0.216
16.107,0.00015805,0.00027622,1,0.218,10,1,0.218
16.17,0.00015803,0.00027809,1,0.22,10,1,0.22
16.22,0.00015802,0.00027935,1,0.222,10,1,0.222
16.27,0.00015801,0.00028061,1,0.224,10,1,0.224
16.32,0.000158,0.00028187,1,0.226,10,1,0.226
16.37,0.00015799,0.00028313,1,0.228,10,1,0.228
16.42,0.00015798,0.00028439,1,0.23,10,1,0.23
16.47,0.00015797,0.00028565,1,0.232,10,1,0.232
16.521,0.00015796,0.00028691,1,0.234,10,1,0.234
16.571,0.00015795,0.00028817,1,0.236,10,1,0.236
16.621,0.00015794,0.00028943,1,0.238,10,1,0.238
16.671,0.00015794,0.00029069,1,0.24,10,1,0.24
16.71,0.00015795,0.00029126,1,0.242,10,1,0.242
16.748,0.00015797,0.00029183,1,0.244,10,1,0.244
16.787,0.00015799,0.0002924,1,0.246,10,1,0.246
16.826,0.00015801,0.00029297,1,0.248,10,1,0.248
16.865,0.00015803,0.00029354,1,0.25,10,1,0.25
16.903,0.00015805,0.00029411,1,0.252,10,1,0.252
16.942,0.00015807,0.00029468,1,0.254,10,1,0.254
16.981,0.00015808,0.00029525,1,0.256,10,1,0.256
17.02,0.0001581,0.00029582,1,0.258,10,1,0.258
17.058,0.00015812,0.00029639,1,0.26,10,1,0.26
17.087,0.00015818,0.00029623,1,0.262,10,1,0.262
17.115,0.00015824,0.00029607,1,0.264,10,1,0.264
17.143,0.00015829,0.00029591,1,0.266,10,1,0.266
17.171,0.00015835,0.00029575,1,0.268,10,1,0.268
17.2,0.00015841,0.00029559,1,0.27,10,1,0.27
17.228,0.00015846,0.00029543,1,0.272,10,1,0.272
17.256,0.00015852,0.00029527,1,0.274,10,1,0.274
17.285,0.00015858,0.00029511,1,0.276,10,1,0.276
17.313,0.00015863,0.00029495,1,0.278,10,1,0.278
17.341,0.00015869,0.00029479,1,0.28,10,1,0.28
17.36,0.00015879,0.00029389,1,0.282,10,1,0.282
17.379,0.00015889,0.00029299,1,0.284,10,1,0.284
17.398,0.000159,0.00029209,1,0.286,10,1,0.286
17.416,0.0001591,0.00029119,1,0.288,10,1,0.288
17.435,0.0001592,0.00029029,1,0.29,10,1,0.29
17.454,0.0001593,0.00028939,1,0.292,10,1,0.292
17.473,0.0001594,0.00028849,1,0.294,10,1,0.294
17.492,0.0001595,0.00028759,1,0.296,10,1,0.296
17.51,0.00015961,0.00028669,1,0.298,10,1,0.298
17.529,0.00015971,0.00028578,1,0.3,10,1,0.3
17.539,0.00015986,0.00028417,1,0.302,10,1,0.302
17.55,0.00016001,0.00028255,1,0.304,10,1,0.304
17.56,0.00016016,0.00028093,1,0.306,10,1,0.306
17.57,0.00016031,0.00027932,1,0.308,10,1,0.308
17.58,0.00016046,0.0002777,1,0.31,10,1,0.31
17.59,0.00016061,0.00027608,1,0.312,10,1,0.312
17.601,0.00016076,0.00027447,1,0.314,10,1,0.314
17.611,0.0001609,0.00027285,1,0.316,10,1,0.316
17.621,0.00016105,0.00027123,1,0.318,10,1,0.318
17.631,0.0001612,0.00026962,1,0.32,10,1,0.32
17.634,0.0001614,0.00026733,1,0.322,10,1,0.322
17.636,0.0001616,0.00026505,1,0.324,10,1,0.324
17.639,0.0001618,0.00026277,1,0.326,10,1,0.326
17.641,0.00016199,0.00026048,1,0.328,10,1,0.328
