"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-7.6376e-05,-1.2376e-07,-3.393e-06,1,0,10,1,0
1.5052,1.337e-05,-5.0902e-05,1,0.002,10,1,0.002
3.0104,2.6865e-05,-9.8412e-05,1,0.004,10,1,0.004
4.5156,4.0359e-05,-0.00014592,1,0.006,10,1,0.006
6.0208,5.3853e-05,-0.00019343,1,0.008,10,1,0.008
7.5261,6.7347e-05,-0.00024094,1,0.01,10,1,0.01
9.0313,8.0842e-05,-0.00028845,1,0.012,10,1,0.012
10.537,9.4336e-05,-0.00033596,1,0.014,10,1,0.014
12.042,0.00010783,-0.00038347,1,0.016,10,1,0.016
13.547,0.00012132,-0.00043098,1,0.018,10,1,0.018
15.052,0.00013482,-0.00047849,1,0.02,10,1,0.02
16.198,0.00014329,-0.00047115,1,0.022,10,1,0.022
17.344,0.00015175,-0.00046381,1,0.024,10,1,0.024
18.491,0.00016022,-0.00045647,1,0.026,10,1,0.026
19.637,0.00016869,-0.00044913,1,0.028,10,1,0.028
20.783,0.00017716,-0.0004418,1,0.03,10,1,0.03
21.929,0.00018563,-0.00043446,1,0.032,10,1,0.032
23.075,0.00019409,-0.00042712,1,0.034,10,1,0.034
24.221,0.00020256,-0.00041978,1,0.036,10,1,0.036
25.367,0.00021103,-0.00041244,1,0.038,10,1,0.038
26.514,0.0002195,-0.00040511,1,0.04,10,1,0.04
27.344,0.00022496,-0.00038188,1,0.042,10,1,0.042
28.174,0.00023043,-0.00035866,1,0.044,10,1,0.044
29.004,0.0002359,-0.00033543,1,0.046,10,1,0.046
29.834,0.00024136,-0.00031221,1,0.048,10,1,0.048
30.664,0.00024683,-0.00028899,1,0.05,10,1,0.05
31.494,0.0002523,-0.00026576,1,0.052,10,1,0.052
32.324,0.00025776,-0.00024254,1,0.054,10,1,0.054
33.155,0.00026323,-0.00021931,1,0.056,10,1,0.056
33.985,0.0002687,-0.00019609,1,0.058,10,1,0.058
34.815,0.00027416,-0.00017287,1,0.06,10,1,0.06
35.372,0.0002774,-0.00015005,1,0.062,10,1,0.062
35.93,0.00028064,-0.00012723,1,0.064,10,1,0.064
36.488,0.00028388,-0.00010442,1,0.066,10,1,0.066
37.045,0.00028712,-8.1603e-05,1,0.068,10,1,0.068
37.603,0.00029036,-5.8787e-05,1,0.07,10,1,0.07
38.16,0.0002936,-3.5972e-05,1,0.072,10,1,0.072
38.718,0.00029684,-1.3156e-05,1,0.074,10,1,0.074
39.275,0.00030008,9.6601e-06,1,0.076,10,1,0.076
39.833,0.00030332,3.2476e-05,1,0.078,10,1,0.078
40.39,0.00030655,5.5292e-05,1,0.08,10,1,0.08
40.718,0.00030832,7.151e-05,1,0.082,10,1,0.082
41.045,0.00031009,8.7727e-05,1,0.084,10,1,0.084
41.372,0.00031186,0.00010395,1,0.086,10,1,0.086
41.699,0.00031363,0.00012016,1,0.088,10,1,0.088
42.026,0.0003154,0.00013638,1,0.09,10,1,0.09
42.353,0.00031717,0.0001526,1,0.092,10,1,0.092
42.68,0.00031894,0.00016882,1,0.094,10,1,0.094
43.008,0.00032071,0.00018503,1,0.096,10,1,0.096
43.335,0.00032248,0.00020125,1,0.098,10,1,0.098
43.662,0.00032425,0.00021747,1,0.1,10,1,0.1
43.798,0.00032511,0.00022496,1,0.102,10,1,0.102
43.935,0.00032598,0.00023245,1,0.104,10,1,0.104
44.072,0.00032685,0.00023995,1,0.106,10,1,0.106
44.208,0.00032771,0.00024744,1,0.108,10,1,0.108
44.345,0.00032858,0.00025493,1,0.11,10,1,0.11
44.481,0.00032945,0.00026242,1,0.112,10,1,0.112
44.618,0.00033031,0.00026992,1,0.114,10,1,0.114
44.754,0.00033118,0.00027741,1,0.116,10,1,0.116
44.891,0.00033205,0.0002849,1,0.118,10,1,0.118
45.028,0.00033291,0.00029239,1,0.12,10,1,0.12
45.011,0.00033326,0.00029059,1,0.122,10,1,0.122
44.994,0.00033361,0.00028878,1,0.124,10,1,0.124
44.977,0.00033396,0.00028697,1,0.126,10,1,0.126
44.96,0.00033431,0.00028516,1,0.128,10,1,0.128
44.943,0.00033466,0.00028336,1,0.13,10,1,0.13
44.926,0.00033501,0.00028155,1,0.132,10,1,0.132
44.909,0.00033536,0.00027974,1,0.134,10,1,0.134
44.892,0.00033571,0.00027793,1,0.136,10,1,0.136
44.875,0.00033606,0.00027612,1,0.138,10,1,0.138
44.858,0.00033641,0.00027432,1,0.14,10,1,0.14
44.721,0.00033648,0.00026343,1,0.142,10,1,0.142
44.585,0.00033654,0.00025255,1,0.144,10,1,0.144
44.448,0.0003366,0.00024167,1,0.146,10,1,0.146
44.311,0.00033666,0.00023078,1,0.148,10,1,0.148
44.174,0.00033673,0.0002199,1,0.15,10,1,0.15
44.038,0.00033679,0.00020902,1,0.152,10,1,0.152
43.901,0.00033685,0.00019813,1,0.154,10,1,0.154
43.764,0.00033692,0.00018725,1,0.156,10,1,0.156
43.628,0.00033698,0.00017637,1,0.158,10,1,0.158
43.491,0.00033704,0.00016549,1,0.16,10,1,0.16
43.264,0.00033693,0.00014635,1,0.162,10,1,0.162
43.038,0.00033681,0.00012721,1,0.164,10,1,0.164
42.812,0.0003367,0.00010808,1,0.166,10,1,0.166
42.585,0.00033658,8.8939e-05,1,0.168,10,1,0.168
42.359,0.00033647,6.9802e-05,1,0.17,10,1,0.17
42.133,0.00033636,5.0666e-05,1,0.172,10,1,0.172
41.906,0.00033624,3.1529e-05,1,0.174,10,1,0.174
41.68,0.00033613,1.2392e-05,1,0.176,10,1,0.176
41.453,0.00033601,-6.7442e-06,1,0.178,10,1,0.178
41.227,0.0003359,-2.5881e-05,1,0.18,10,1,0.18
40.938,0.00033564,-5.1982e-05,1,0.182,10,1,0.182
40.648,0.00033538,-7.8083e-05,1,0.184,10,1,0.184
40.358,0.00033511,-0.00010418,1,0.186,10,1,0.186
40.069,0.00033485,-0.00013029,1,0.188,10,1,0.188
39.779,0.00033459,-0.00015639,1,0.19,10,1,0.19
39.49,0.00033433,-0.00018249,1,0.192,10,1,0.192
39.2,0.00033407,-0.00020859,1,0.194,10,1,0.194
38.911,0.0003338,-0.00023469,1,0.196,10,1,0.196
38.621,0.00033354,-0.00026079,1,0.198,10,1,0.198
38.332,0.00033328,-0.00028689,1,0.2,10,1,0.2
38.002,0.00033285,-0.00031832,1,0.202,10,1,0.202
37.672,0.00033243,-0.00034975,1,0.204,10,1,0.204
37.342,0.000332,-0.00038118,1,0.206,10,1,0.206
37.012,0.00033157,-0.00041261,1,0.208,10,1,0.208
36.682,0.00033115,-0.00044404,1,0.21,10,1,0.21
36.352,0.00033072,-0.00047547,1,0.212,10,1,0.212
36.022,0.00033029,-0.0005069,1,0.214,10,1,0.214
35.692,0.00032987,-0.00053833,1,0.216,10,1,0.216
35.362,0.00032944,-0.00056975,1,0.218,10,1,0.218
35.032,0.00032901,-0.00060118,1,0.22,10,1,0.22
34.681,0.00032839,-0.00063605,1,0.222,10,1,0.222
34.329,0.00032776,-0.00067092,1,0.224,10,1,0.224
33.978,0.00032713,-0.00070578,1,0.226,10,1,0.226
33.627,0.00032651,-0.00074065,1,0.228,10,1,0.228
33.275,0.00032588,-0.00077552,1,0.23,10,1,0.23
32.924,0.00032525,-0.00081039,1,0.232,10,1,0.232
32.573,0.00032463,-0.00084525,1,0.234,10,1,0.234
32.221,0.000324,-0.00088012,1,0.236,10,1,0.236
31.87,0.00032338,-0.00091499,1,0.238,10,1,0.238
31.519,0.00032275,-0.00094985,1,0.24,10,1,0.24
31.161,0.00032189,-0.00098613,1,0.242,10,1,0.242
30.804,0.00032103,-0.0010224,1,0.244,10,1,0.244
30.447,0.00032017,-0.0010587,1,0.246,10,1,0.246
30.09,0.00031932,-0.001095,1,0.248,10,1,0.248
29.733,0.00031846,-0.0011312,1,0.25,10,1,0.25
29.376,0.0003176,-0.0011675,1,0.252,10,1,0.252
29.019,0.00031674,-0.0012038,1,0.254,10,1,0.254
28.662,0.00031588,-0.0012401,1,0.256,10,1,0.256
28.305,0.00031503,-0.0012763,1,0.258,10,1,0.258
27.947,0.00031417,-0.0013126,1,0.26,10,1,0.26
27.597,0.00031306,-0.0013483,1,0.262,10,1,0.262
27.246,0.00031195,-0.0013839,1,0.264,10,1,0.264
26.896,0.00031085,-0.0014196,1,0.266,10,1,0.266
26.545,0.00030974,-0.0014552,1,0.268,10,1,0.268
26.195,0.00030863,-0.0014909,1,0.27,10,1,0.27
25.844,0.00030752,-0.0015265,1,0.272,10,1,0.272
25.494,0.00030642,-0.0015622,1,0.274,10,1,0.274
25.143,0.00030531,-0.0015978,1,0.276,10,1,0.276
24.793,0.0003042,-0.0016335,1,0.278,10,1,0.278
24.442,0.0003031,-0.0016691,1,0.28,10,1,0.28
24.108,0.00030174,-0.0017022,1,0.282,10,1,0.282
23.773,0.00030039,-0.0017354,1,0.284,10,1,0.284
23.438,0.00029903,-0.0017685,1,0.286,10,1,0.286
23.104,0.00029768,-0.0018016,1,0.288,10,1,0.288
22.769,0.00029632,-0.0018347,1,0.29,10,1,0.29
22.435,0.00029497,-0.0018678,1,0.292,10,1,0.292
22.1,0.00029361,-0.0019009,1,0.294,10,1,0.294
21.766,0.00029226,-0.001934,1,0.296,10,1,0.296
21.431,0.00029091,-0.0019671,1,0.298,10,1,0.298
21.097,0.00028955,-0.0020002,1,0.3,10,1,0.3
20.785,0.00028797,-0.0020291,1,0.302,10,1,0.302
20.473,0.00028639,-0.002058,1,0.304,10,1,0.304
20.161,0.00028481,-0.0020868,1,0.306,10,1,0.306
19.849,0.00028323,-0.0021157,1,0.308,10,1,0.308
19.538,0.00028165,-0.0021446,1,0.31,10,1,0.31
19.226,0.00028007,-0.0021735,1,0.312,10,1,0.312
18.914,0.0002785,-0.0022023,1,0.314,10,1,0.314
18.602,0.00027692,-0.0022312,1,0.316,10,1,0.316
18.29,0.00027534,-0.0022601,1,0.318,10,1,0.318
17.979,0.00027376,-0.0022889,1,0.32,10,1,0.32
17.694,0.00027199,-0.0023122,1,0.322,10,1,0.322
17.41,0.00027023,-0.0023355,1,0.324,10,1,0.324
17.125,0.00026846,-0.0023588,1,0.326,10,1,0.326
16.841,0.0002667,-0.002382,1,0.328,10,1,0.328
16.556,0.00026493,-0.0024053,1,0.33,10,1,0.33
16.272,0.00026317,-0.0024286,1,0.332,10,1,0.332
15.987,0.0002614,-0.0024518,1,0.334,10,1,0.334
15.703,0.00025964,-0.0024751,1,0.336,10,1,0.336
15.418,0.00025787,-0.0024984,1,0.338,10,1,0.338
15.134,0.0002561,-0.0025217,1,0.34,10,1,0.34
14.879,0.0002542,-0.0025383,1,0.342,10,1,0.342
14.624,0.0002523,-0.002555,1,0.344,10,1,0.344
14.37,0.0002504,-0.0025717,1,0.346,10,1,0.346
14.115,0.0002485,-0.0025884,1,0.348,10,1,0.348
13.861,0.0002466,-0.002605,1,0.35,10,1,0.35
13.606,0.0002447,-0.0026217,1,0.352,10,1,0.352
13.351,0.0002428,-0.0026384,1,0.354,10,1,0.354
13.097,0.0002409,-0.0026551,1,0.356,10,1,0.356
12.842,0.000239,-0.0026717,1,0.358,10,1,0.358
12.587,0.0002371,-0.0026884,1,0.36,10,1,0.36
12.364,0.00023513,-0.0026979,1,0.362,10,1,0.362
12.14,0.00023315,-0.0027074,1,0.364,10,1,0.364
11.916,0.00023117,-0.0027169,1,0.366,10,1,0.366
11.693,0.00022919,-0.0027264,1,0.368,10,1,0.368
11.469,0.00022721,-0.0027359,1,0.37,10,1,0.37
11.245,0.00022523,-0.0027454,1,0.372,10,1,0.372
11.022,0.00022325,-0.0027549,1,0.374,10,1,0.374
10.798,0.00022127,-0.0027644,1,0.376,10,1,0.376
10.574,0.00021929,-0.0027739,1,0.378,10,1,0.378
10.351,0.00021731,-0.0027834,1,0.38,10,1,0.38
10.158,0.00021531,-0.0027855,1,0.382,10,1,0.382
9.9646,0.00021331,-0.0027876,1,0.384,10,1,0.384
9.7717,0.00021131,-0.0027897,1,0.386,10,1,0.386
9.5787,0.0002093,-0.0027918,1,0.388,10,1,0.388
9.3857,0.0002073,-0.002794,1,0.39,10,1,0.39
9.1927,0.0002053,-0.0027961,1,0.392,10,1,0.392
8.9998,0.0002033,-0.0027982,1,0.394,10,1,0.394
8.8068,0.0002013,-0.0028003,1,0.396,10,1,0.396
8.6138,0.00019929,-0.0028024,1,0.398,10,1,0.398
8.4208,0.00019729,-0.0028046,1,0.4,10,1,0.4
8.2574,0.00019532,-0.0027995,1,0.402,10,1,0.402
8.094,0.00019334,-0.0027944,1,0.404,10,1,0.404
7.9305,0.00019137,-0.0027894,1,0.406,10,1,0.406
7.7671,0.00018939,-0.0027843,1,0.408,10,1,0.408
7.6037,0.00018742,-0.0027792,1,0.41,10,1,0.41
7.4403,0.00018544,-0.0027742,1,0.412,10,1,0.412
7.2768,0.00018347,-0.0027691,1,0.414,10,1,0.414
7.1134,0.0001815,-0.002764,1,0.416,10,1,0.416
6.95,0.00017952,-0.002759,1,0.418,10,1,0.418
6.7865,0.00017755,-0.0027539,1,0.42,10,1,0.42
6.6508,0.00017564,-0.0027421,1,0.422,10,1,0.422
6.5151,0.00017374,-0.0027304,1,0.424,10,1,0.424
6.3793,0.00017184,-0.0027186,1,0.426,10,1,0.426
6.2436,0.00016993,-0.0027069,1,0.428,10,1,0.428
6.1079,0.00016803,-0.0026951,1,0.43,10,1,0.43
5.9722,0.00016613,-0.0026834,1,0.432,10,1,0.432
5.8364,0.00016422,-0.0026716,1,0.434,10,1,0.434
5.7007,0.00016232,-0.0026599,1,0.436,10,1,0.436
5.565,0.00016042,-0.0026481,1,0.438,10,1,0.438
5.4292,0.00015851,-0.0026364,1,0.44,10,1,0.44
5.3189,0.00015672,-0.0026187,1,0.442,10,1,0.442
5.2085,0.00015492,-0.002601,1,0.444,10,1,0.444
5.0982,0.00015312,-0.0025833,1,0.446,10,1,0.446
4.9878,0.00015132,-0.0025656,1,0.448,10,1,0.448
4.8775,0.00014952,-0.0025479,1,0.45,10,1,0.45
4.7671,0.00014772,-0.0025303,1,0.452,10,1,0.452
4.6567,0.00014592,-0.0025126,1,0.454,10,1,0.454
4.5464,0.00014413,-0.0024949,1,0.456,10,1,0.456
4.436,0.00014233,-0.0024772,1,0.458,10,1,0.458
4.3257,0.00014053,-0.0024595,1,0.46,10,1,0.46
4.2381,0.00013886,-0.0024369,1,0.462,10,1,0.462
4.1506,0.00013719,-0.0024142,1,0.464,10,1,0.464
4.063,0.00013552,-0.0023916,1,0.466,10,1,0.466
3.9754,0.00013385,-0.0023689,1,0.468,10,1,0.468
3.8879,0.00013218,-0.0023462,1,0.47,10,1,0.47
3.8003,0.00013051,-0.0023236,1,0.472,10,1,0.472
3.7127,0.00012884,-0.0023009,1,0.474,10,1,0.474
3.6252,0.00012717,-0.0022782,1,0.476,10,1,0.476
3.5376,0.0001255,-0.0022556,1,0.478,10,1,0.478
3.4501,0.00012383,-0.0022329,1,0.48,10,1,0.48
3.3826,0.00012231,-0.0022063,1,0.482,10,1,0.482
3.3151,0.00012078,-0.0021797,1,0.484,10,1,0.484
3.2476,0.00011925,-0.0021532,1,0.486,10,1,0.486
3.1801,0.00011773,-0.0021266,1,0.488,10,1,0.488
3.1127,0.0001162,-0.0021,1,0.49,10,1,0.49
3.0452,0.00011467,-0.0020734,1,0.492,10,1,0.492
2.9777,0.00011315,-0.0020468,1,0.494,10,1,0.494
2.9102,0.00011162,-0.0020203,1,0.496,10,1,0.496
2.8427,0.00011009,-0.0019937,1,0.498,10,1,0.498
2.7753,0.00010857,-0.0019671,1,0.5,10,1,0.5
2.7252,0.00010719,-0.0019377,1,0.502,10,1,0.502
2.6751,0.00010581,-0.0019083,1,0.504,10,1,0.504
2.625,0.00010444,-0.0018789,1,0.506,10,1,0.506
2.5749,0.00010306,-0.0018495,1,0.508,10,1,0.508
2.5248,0.00010168,-0.0018202,1,0.51,10,1,0.51
2.4747,0.0001003,-0.0017908,1,0.512,10,1,0.512
2.4246,9.8928e-05,-0.0017614,1,0.514,10,1,0.514
2.3745,9.7551e-05,-0.001732,1,0.516,10,1,0.516
2.3244,9.6174e-05,-0.0017026,1,0.518,10,1,0.518
2.2743,9.4797e-05,-0.0016732,1,0.52,10,1,0.52
2.2389,9.357e-05,-0.0016421,1,0.522,10,1,0.522
2.2036,9.2343e-05,-0.001611,1,0.524,10,1,0.524
2.1683,9.1116e-05,-0.0015799,1,0.526,10,1,0.526
2.1329,8.9889e-05,-0.0015488,1,0.528,10,1,0.528
2.0976,8.8662e-05,-0.0015178,1,0.53,10,1,0.53
2.0623,8.7435e-05,-0.0014867,1,0.532,10,1,0.532
2.027,8.6208e-05,-0.0014556,1,0.534,10,1,0.534
1.9916,8.4981e-05,-0.0014245,1,0.536,10,1,0.536
1.9563,8.3754e-05,-0.0013934,1,0.538,10,1,0.538
1.921,8.2527e-05,-0.0013623,1,0.54,10,1,0.54
1.898,8.1445e-05,-0.0013305,1,0.542,10,1,0.542
