"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.00065271,2.0636e-06,3.3476e-06,1,0,10,1,0
0.09206,-1.9789e-06,6.5245e-06,1,0.002,10,1,0.002
0.18477,-6.0214e-06,9.7013e-06,1,0.004,10,1,0.004
0.27749,-1.0064e-05,1.2878e-05,1,0.006,10,1,0.006
0.3702,-1.4106e-05,1.6055e-05,1,0.008,10,1,0.008
0.46291,-1.8149e-05,1.9232e-05,1,0.01,10,1,0.01
0.55563,-2.2191e-05,2.2409e-05,1,0.012,10,1,0.012
0.64834,-2.6234e-05,2.5586e-05,1,0.014,10,1,0.014
0.74105,-3.0276e-05,2.8763e-05,1,0.016,10,1,0.016
0.83376,-3.4319e-05,3.1939e-05,1,0.018,10,1,0.018
0.92648,-3.8361e-05,3.5116e-05,1,0.02,10,1,0.02
1.0204,-4.0205e-05,3.1504e-05,1,0.022,10,1,0.022
1.1143,-4.2049e-05,2.7892e-05,1,0.024,10,1,0.024
1.2082,-4.3892e-05,2.428e-05,1,0.026,10,1,0.026
1.3021,-4.5736e-05,2.0668e-05,1,0.028,10,1,0.028
1.396,-4.758e-05,1.7055e-05,1,0.03,10,1,0.03
1.4899,-4.9424e-05,1.3443e-05,1,0.032,10,1,0.032
1.5838,-5.1267e-05,9.831e-06,1,0.034,10,1,0.034
1.6777,-5.3111e-05,6.2188e-06,1,0.036,10,1,0.036
1.7716,-5.4955e-05,2.6067e-06,1,0.038,10,1,0.038
1.8656,-5.6799e-05,-1.0055e-06,1,0.04,10,1,0.04
1.9545,-5.7875e-05,4.0048e-06,1,0.042,10,1,0.042
2.0435,-5.895e-05,9.0151e-06,1,0.044,10,1,0.044
2.1325,-6.0026e-05,1.4025e-05,1,0.046,10,1,0.046
2.2215,-6.1102e-05,1.9036e-05,1,0.048,10,1,0.048
2.3104,-6.2178e-05,2.4046e-05,1,0.05,10,1,0.05
2.3994,-6.3254e-05,2.9056e-05,1,0.052,10,1,0.052
2.4884,-6.433e-05,3.4067e-05,1,0.054,10,1,0.054
2.5774,-6.5405e-05,3.9077e-05,1,0.056,10,1,0.056
2.6663,-6.6481e-05,4.4087e-05,1,0.058,10,1,0.058
2.7553,-6.7557e-05,4.9098e-05,1,0.06,10,1,0.06
2.8418,-6.8436e-05,5.2191e-05,1,0.062,10,1,0.062
2.9283,-6.9315e-05,5.5284e-05,1,0.064,10,1,0.064
3.0148,-7.0193e-05,5.8377e-05,1,0.066,10,1,0.066
3.1013,-7.1072e-05,6.147e-05,1,0.068,10,1,0.068
3.1878,-7.1951e-05,6.4563e-05,1,0.07,10,1,0.07
3.2742,-7.283e-05,6.7656e-05,1,0.072,10,1,0.072
3.3607,-7.3708e-05,7.0749e-05,1,0.074,10,1,0.074
3.4472,-7.4587e-05,7.3842e-05,1,0.076,10,1,0.076
3.5337,-7.5466e-05,7.6935e-05,1,0.078,10,1,0.078
3.6202,-7.6345e-05,8.0027e-05,1,0.08,10,1,0.08
3.704,-7.7028e-05,8.1324e-05,1,0.082,10,1,0.082
3.7877,-7.7712e-05,8.2621e-05,1,0.084,10,1,0.084
3.8715,-7.8395e-05,8.3918e-05,1,0.086,10,1,0.086
3.9552,-7.9079e-05,8.5215e-05,1,0.088,10,1,0.088
4.039,-7.9763e-05,8.6512e-05,1,0.09,10,1,0.09
4.1227,-8.0446e-05,8.7809e-05,1,0.092,10,1,0.092
4.2065,-8.113e-05,8.9106e-05,1,0.094,10,1,0.094
4.2902,-8.1813e-05,9.0403e-05,1,0.096,10,1,0.096
4.374,-8.2497e-05,9.17e-05,1,0.098,10,1,0.098
4.4577,-8.3181e-05,9.2997e-05,1,0.1,10,1,0.1
4.5389,-8.3691e-05,9.4092e-05,1,0.102,10,1,0.102
