"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.0008322,-7.8477e-06,2.3896e-06,1,0,10,0.6,0
0.081881,-3.0729e-05,5.7076e-06,1,0.002,10,0.6,0.002
0.16459,-5.3609e-05,9.0255e-06,1,0.004,10,0.6,0.004
0.24731,-7.649e-05,1.2343e-05,1,0.006,10,0.6,0.006
0.33002,-9.9371e-05,1.5661e-05,1,0.008,10,0.6,0.008
0.41273,-0.00012225,1.8979e-05,1,0.01,10,0.6,0.01
0.49545,-0.00014513,2.2297e-05,1,0.012,10,0.6,0.012
0.57816,-0.00016801,2.5615e-05,1,0.014,10,0.6,0.014
0.66087,-0.00019089,2.8933e-05,1,0.016,10,0.6,0.016
0.74517,-0.00020442,2.7073e-05,1,0.018,10,0.6,0.018
0.83027,-0.00021328,2.2624e-05,1,0.02,10,0.6,0.02
0.91536,-0.00022213,1.8174e-05,1,0.022,10,0.6,0.022
1.0005,-0.00023099,1.3725e-05,1,0.024,10,0.6,0.024
1.0855,-0.00023984,9.2755e-06,1,0.026,10,0.6,0.026
1.1706,-0.0002487,4.8261e-06,1,0.028,10,0.6,0.028
1.2557,-0.00025755,3.7675e-07,1,0.03,10,0.6,0.03
1.3408,-0.00026641,-4.0726e-06,1,0.032,10,0.6,0.032
1.4243,-0.00027411,-7.4814e-06,1,0.034,10,0.6,0.034
1.5043,-0.00027951,-8.8089e-06,1,0.036,10,0.6,0.036
1.5844,-0.00028491,-1.0136e-05,1,0.038,10,0.6,0.038
1.6644,-0.00029031,-1.1464e-05,1,0.04,10,0.6,0.04
1.7445,-0.0002957,-1.2791e-05,1,0.042,10,0.6,0.042
1.8246,-0.0003011,-1.4119e-05,1,0.044,10,0.6,0.044
1.9046,-0.0003065,-1.5446e-05,1,0.046,10,0.6,0.046
1.9847,-0.0003119,-1.6774e-05,1,0.048,10,0.6,0.048
2.0648,-0.0003173,-1.8101e-05,1,0.05,10,0.6,0.05
2.1428,-0.00032202,-1.738e-05,1,0.052,10,0.6,0.052
2.2209,-0.00032674,-1.6658e-05,1,0.054,10,0.6,0.054
2.2989,-0.00033146,-1.5936e-05,1,0.056,10,0.6,0.056
2.377,-0.00033618,-1.5214e-05,1,0.058,10,0.6,0.058
2.455,-0.0003409,-1.4493e-05,1,0.06,10,0.6,0.06
2.5331,-0.00034562,-1.3771e-05,1,0.062,10,0.6,0.062
2.6111,-0.00035034,-1.3049e-05,1,0.064,10,0.6,0.064
2.6892,-0.00035506,-1.2328e-05,1,0.066,10,0.6,0.066
2.7658,-0.00035937,-1.2882e-05,1,0.068,10,0.6,0.068
2.8417,-0.00036347,-1.4074e-05,1,0.07,10,0.6,0.07
2.9177,-0.00036757,-1.5267e-05,1,0.072,10,0.6,0.072
2.9936,-0.00037168,-1.6459e-05,1,0.074,10,0.6,0.074
3.0695,-0.00037578,-1.7651e-05,1,0.076,10,0.6,0.076
3.1454,-0.00037988,-1.8844e-05,1,0.078,10,0.6,0.078
3.2214,-0.00038398,-2.0036e-05,1,0.08,10,0.6,0.08
3.2973,-0.00038809,-2.1228e-05,1,0.082,10,0.6,0.082
3.3725,-0.000392,-2.2754e-05,1,0.084,10,0.6,0.084
3.4462,-0.00039552,-2.4947e-05,1,0.086,10,0.6,0.086
3.5199,-0.00039904,-2.7141e-05,1,0.088,10,0.6,0.088
3.5936,-0.00040257,-2.9334e-05,1,0.09,10,0.6,0.09
3.6673,-0.00040609,-3.1527e-05,1,0.092,10,0.6,0.092
3.741,-0.00040962,-3.372e-05,1,0.094,10,0.6,0.094
3.8147,-0.00041314,-3.5913e-05,1,0.096,10,0.6,0.096
3.8885,-0.00041666,-3.8106e-05,1,0.098,10,0.6,0.098
3.9622,-0.00042019,-4.03e-05,1,0.1,10,0.6,0.1
4.0338,-0.00042318,-4.2703e-05,1,0.102,10,0.6,0.102
4.1054,-0.00042617,-4.5107e-05,1,0.104,10,0.6,0.104
4.177,-0.00042916,-4.7511e-05,1,0.106,10,0.6,0.106
4.2486,-0.00043216,-4.9915e-05,1,0.108,10,0.6,0.108
4.3202,-0.00043515,-5.2319e-05,1,0.11,10,0.6,0.11
4.3918,-0.00043814,-5.4723e-05,1,0.112,10,0.6,0.112
4.4634,-0.00044113,-5.7127e-05,1,0.114,10,0.6,0.114
4.5349,-0.00044413,-5.953e-05,1,0.116,10,0.6,0.116
4.6052,-0.00044677,-6.2001e-05,1,0.118,10,0.6,0.118
4.6747,-0.00044924,-6.4506e-05,1,0.12,10,0.6,0.12
4.7442,-0.00045172,-6.701e-05,1,0.122,10,0.6,0.122
4.8138,-0.00045419,-6.9515e-05,1,0.124,10,0.6,0.124
4.8833,-0.00045666,-7.2019e-05,1,0.126,10,0.6,0.126
4.9528,-0.00045913,-7.4524e-05,1,0.128,10,0.6,0.128
5.0224,-0.0004616,-7.7028e-05,1,0.13,10,0.6,0.13
5.0919,-0.00046408,-7.9533e-05,1,0.132,10,0.6,0.132
5.1608,-0.00046638,-8.2049e-05,1,0.134,10,0.6,0.134
5.2283,-0.00046835,-8.4589e-05,1,0.136,10,0.6,0.136
5.2958,-0.00047032,-8.7129e-05,1,0.138,10,0.6,0.138
5.3633,-0.00047228,-8.9669e-05,1,0.14,10,0.6,0.14
5.4308,-0.00047425,-9.2209e-05,1,0.142,10,0.6,0.142
5.4983,-0.00047622,-9.4749e-05,1,0.144,10,0.6,0.144
5.5658,-0.00047819,-9.7289e-05,1,0.146,10,0.6,0.146
5.6333,-0.00048016,-9.9829e-05,1,0.148,10,0.6,0.148
5.7008,-0.00048212,-0.00010237,1,0.15,10,0.6,0.15
5.7663,-0.00048361,-0.00010482,1,0.152,10,0.6,0.152
5.8319,-0.00048509,-0.00010726,1,0.154,10,0.6,0.154
5.8974,-0.00048657,-0.00010971,1,0.156,10,0.6,0.156
5.9629,-0.00048806,-0.00011216,1,0.158,10,0.6,0.158
6.0284,-0.00048954,-0.00011461,1,0.16,10,0.6,0.16
6.0939,-0.00049103,-0.00011705,1,0.162,10,0.6,0.162
6.1594,-0.00049251,-0.0001195,1,0.164,10,0.6,0.164
6.225,-0.00049399,-0.00012195,1,0.166,10,0.6,0.166
6.2892,-0.00049516,-0.00012424,1,0.168,10,0.6,0.168
