"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.00082418,1.1153e-05,2.7843e-06,1,0,10,1.4,0
0.081894,1.2935e-05,3.6637e-06,1,0.002,10,1.4,0.002
0.16461,1.4716e-05,4.5432e-06,1,0.004,10,1.4,0.004
0.24733,1.6498e-05,5.4227e-06,1,0.006,10,1.4,0.006
0.33005,1.828e-05,6.3022e-06,1,0.008,10,1.4,0.008
0.41276,2.0062e-05,7.1817e-06,1,0.01,10,1.4,0.01
0.49548,2.1843e-05,8.0611e-06,1,0.012,10,1.4,0.012
0.5782,2.3625e-05,8.9406e-06,1,0.014,10,1.4,0.014
0.66092,2.5407e-05,9.8201e-06,1,0.016,10,1.4,0.016
0.74522,2.8956e-05,8.8627e-06,1,0.018,10,1.4,0.018
0.83031,3.3389e-05,6.987e-06,1,0.02,10,1.4,0.02
0.91541,3.7822e-05,5.1112e-06,1,0.022,10,1.4,0.022
1.0005,4.2255e-05,3.2355e-06,1,0.024,10,1.4,0.024
1.0856,4.6688e-05,1.3597e-06,1,0.026,10,1.4,0.026
1.1707,5.1121e-05,-5.1605e-07,1,0.028,10,1.4,0.028
1.2558,5.5553e-05,-2.3918e-06,1,0.03,10,1.4,0.03
1.3409,5.9986e-05,-4.2676e-06,1,0.032,10,1.4,0.032
1.4243,6.4167e-05,-5.7374e-06,1,0.034,10,1.4,0.034
1.5044,6.7844e-05,-6.3955e-06,1,0.036,10,1.4,0.036
1.5844,7.152e-05,-7.0536e-06,1,0.038,10,1.4,0.038
1.6645,7.5197e-05,-7.7117e-06,1,0.04,10,1.4,0.04
1.7446,7.8873e-05,-8.3697e-06,1,0.042,10,1.4,0.042
1.8246,8.255e-05,-9.0278e-06,1,0.044,10,1.4,0.044
1.9047,8.6227e-05,-9.6859e-06,1,0.046,10,1.4,0.046
1.9848,8.9903e-05,-1.0344e-05,1,0.048,10,1.4,0.048
2.0648,9.358e-05,-1.1002e-05,1,0.05,10,1.4,0.05
2.1429,9.6878e-05,-9.7401e-06,1,0.052,10,1.4,0.052
2.2209,0.00010018,-8.4781e-06,1,0.054,10,1.4,0.054
2.299,0.00010347,-7.2162e-06,1,0.056,10,1.4,0.056
2.3771,0.00010677,-5.9542e-06,1,0.058,10,1.4,0.058
2.4551,0.00011007,-4.6922e-06,1,0.06,10,1.4,0.06
2.5332,0.00011337,-3.4302e-06,1,0.062,10,1.4,0.062
2.6112,0.00011667,-2.1683e-06,1,0.064,10,1.4,0.064
2.6893,0.00011996,-9.0631e-07,1,0.066,10,1.4,0.066
2.7659,0.00012301,-9.8645e-07,1,0.068,10,1.4,0.068
2.8418,0.00012593,-1.7377e-06,1,0.07,10,1.4,0.07
2.9178,0.00012886,-2.4889e-06,1,0.072,10,1.4,0.072
2.9937,0.00013178,-3.2401e-06,1,0.074,10,1.4,0.074
3.0696,0.0001347,-3.9913e-06,1,0.076,10,1.4,0.076
3.1456,0.00013763,-4.7425e-06,1,0.078,10,1.4,0.078
3.2215,0.00014055,-5.4937e-06,1,0.08,10,1.4,0.08
3.2974,0.00014347,-6.2449e-06,1,0.082,10,1.4,0.082
3.3726,0.00014626,-7.3348e-06,1,0.084,10,1.4,0.084
3.4463,0.00014878,-9.102e-06,1,0.086,10,1.4,0.086
3.52,0.00015131,-1.0869e-05,1,0.088,10,1.4,0.088
3.5937,0.00015383,-1.2637e-05,1,0.09,10,1.4,0.09
3.6675,0.00015636,-1.4404e-05,1,0.092,10,1.4,0.092
3.7412,0.00015888,-1.6171e-05,1,0.094,10,1.4,0.094
3.8149,0.00016141,-1.7938e-05,1,0.096,10,1.4,0.096
3.8886,0.00016393,-1.9706e-05,1,0.098,10,1.4,0.098
3.9623,0.00016646,-2.1473e-05,1,0.1,10,1.4,0.1
4.0339,0.00016858,-2.348e-05,1,0.102,10,1.4,0.102
4.1055,0.00017071,-2.5487e-05,1,0.104,10,1.4,0.104
4.1771,0.00017283,-2.7495e-05,1,0.106,10,1.4,0.106
4.2487,0.00017496,-2.9502e-05,1,0.108,10,1.4,0.108
4.3203,0.00017708,-3.1509e-05,1,0.11,10,1.4,0.11
4.3919,0.00017921,-3.3517e-05,1,0.112,10,1.4,0.112
4.4635,0.00018133,-3.5524e-05,1,0.114,10,1.4,0.114
4.5351,0.00018346,-3.7531e-05,1,0.116,10,1.4,0.116
4.6054,0.00018533,-3.9602e-05,1,0.118,10,1.4,0.118
4.6749,0.00018709,-4.1704e-05,1,0.12,10,1.4,0.12
4.7444,0.00018884,-4.3806e-05,1,0.122,10,1.4,0.122
4.814,0.00019059,-4.5908e-05,1,0.124,10,1.4,0.124
4.8835,0.00019235,-4.801e-05,1,0.126,10,1.4,0.126
4.9531,0.0001941,-5.0112e-05,1,0.128,10,1.4,0.128
5.0226,0.00019585,-5.2214e-05,1,0.13,10,1.4,0.13
5.0921,0.00019761,-5.4316e-05,1,0.132,10,1.4,0.132
5.161,0.00019924,-5.6426e-05,1,0.134,10,1.4,0.134
5.2285,0.00020062,-5.8553e-05,1,0.136,10,1.4,0.136
5.296,0.000202,-6.0679e-05,1,0.138,10,1.4,0.138
5.3635,0.00020338,-6.2806e-05,1,0.14,10,1.4,0.14
5.431,0.00020476,-6.4933e-05,1,0.142,10,1.4,0.142
5.4986,0.00020614,-6.7059e-05,1,0.144,10,1.4,0.144
5.5661,0.00020752,-6.9186e-05,1,0.146,10,1.4,0.146
5.6336,0.0002089,-7.1312e-05,1,0.148,10,1.4,0.148
5.7011,0.00021029,-7.3439e-05,1,0.15,10,1.4,0.15
5.7666,0.0002113,-7.5449e-05,1,0.152,10,1.4,0.152
5.8321,0.00021231,-7.746e-05,1,0.154,10,1.4,0.154
5.8977,0.00021332,-7.947e-05,1,0.156,10,1.4,0.156
5.9632,0.00021433,-8.148e-05,1,0.158,10,1.4,0.158
6.0287,0.00021535,-8.3491e-05,1,0.16,10,1.4,0.16
6.0942,0.00021636,-8.5501e-05,1,0.162,10,1.4,0.162
6.1598,0.00021737,-8.7512e-05,1,0.164,10,1.4,0.164
6.2253,0.00021838,-8.9522e-05,1,0.166,10,1.4,0.166
6.2895,0.00021914,-9.1333e-05,1,0.168,10,1.4,0.168
6.3531,0.00021977,-9.3045e-05,1,0.17,10,1.4,0.17
6.4167,0.00022041,-9.4756e-05,1,0.172,10,1.4,0.172
6.4802,0.00022104,-9.6467e-05,1,0.174,10,1.4,0.174
6.5438,0.00022167,-9.8179e-05,1,0.176,10,1.4,0.176
6.6074,0.00022231,-9.989e-05,1,0.178,10,1.4,0.178
6.671,0.00022294,-0.0001016,1,0.18,10,1.4,0.18
6.7346,0.00022357,-0.00010331,1,0.182,10,1.4,0.182
6.7975,0.00022408,-0.00010487,1,0.184,10,1.4,0.184
6.8592,0.00022433,-0.00010611,1,0.186,10,1.4,0.186
6.9208,0.00022457,-0.00010736,1,0.188,10,1.4,0.188
6.9825,0.00022482,-0.00010861,1,0.19,10,1.4,0.19
7.0442,0.00022507,-0.00010985,1,0.192,10,1.4,0.192
7.1058,0.00022531,-0.0001111,1,0.194,10,1.4,0.194
