"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.00081103,-3.1113e-05,-1.1713e-05,1,0,10,1.8,0
0.044453,-2.5292e-05,-1.3769e-05,1,0.002,10,1.8,0.002
0.089717,-1.9471e-05,-1.5825e-05,1,0.004,10,1.8,0.004
0.13498,-1.365e-05,-1.7882e-05,1,0.006,10,1.8,0.006
0.18024,-7.8288e-06,-1.9938e-05,1,0.008,10,1.8,0.008
0.22551,-2.0077e-06,-2.1994e-05,1,0.01,10,1.8,0.01
0.27077,3.8134e-06,-2.4051e-05,1,0.012,10,1.8,0.012
0.31604,9.6345e-06,-2.6107e-05,1,0.014,10,1.8,0.014
0.3613,1.5456e-05,-2.8163e-05,1,0.016,10,1.8,0.016
0.4082,2.0167e-05,-3.2881e-05,1,0.018,10,1.8,0.018
0.45592,2.4325e-05,-3.8928e-05,1,0.02,10,1.8,0.02
0.50365,2.8482e-05,-4.4976e-05,1,0.022,10,1.8,0.022
0.55137,3.2639e-05,-5.1024e-05,1,0.024,10,1.8,0.024
0.59909,3.6796e-05,-5.7072e-05,1,0.026,10,1.8,0.026
0.64681,4.0953e-05,-6.312e-05,1,0.028,10,1.8,0.028
0.69453,4.511e-05,-6.9168e-05,1,0.03,10,1.8,0.03
0.74225,4.9267e-05,-7.5215e-05,1,0.032,10,1.8,0.032
0.78835,5.2249e-05,-8.0617e-05,1,0.034,10,1.8,0.034
0.83121,5.2878e-05,-8.4728e-05,1,0.036,10,1.8,0.036
0.87406,5.3508e-05,-8.8838e-05,1,0.038,10,1.8,0.038
0.91691,5.4138e-05,-9.2949e-05,1,0.04,10,1.8,0.04
0.95977,5.4768e-05,-9.7059e-05,1,0.042,10,1.8,0.042
1.0026,5.5397e-05,-0.00010117,1,0.044,10,1.8,0.044
1.0455,5.6027e-05,-0.00010528,1,0.046,10,1.8,0.046
1.0883,5.6657e-05,-0.00010939,1,0.048,10,1.8,0.048
1.1312,5.7287e-05,-0.0001135,1,0.05,10,1.8,0.05
1.1723,5.76e-05,-0.00011573,1,0.052,10,1.8,0.052
1.2134,5.7914e-05,-0.00011797,1,0.054,10,1.8,0.054
1.2544,5.8227e-05,-0.0001202,1,0.056,10,1.8,0.056
1.2955,5.8541e-05,-0.00012243,1,0.058,10,1.8,0.058
1.3366,5.8854e-05,-0.00012467,1,0.06,10,1.8,0.06
1.3777,5.9168e-05,-0.0001269,1,0.062,10,1.8,0.062
1.4188,5.9481e-05,-0.00012913,1,0.064,10,1.8,0.064
1.4599,5.9795e-05,-0.00013137,1,0.066,10,1.8,0.066
1.4997,5.9968e-05,-0.00013496,1,0.068,10,1.8,0.068
1.539,6.007e-05,-0.00013923,1,0.07,10,1.8,0.07
1.5783,6.0172e-05,-0.00014349,1,0.072,10,1.8,0.072
1.6175,6.0274e-05,-0.00014776,1,0.074,10,1.8,0.074
1.6568,6.0376e-05,-0.00015203,1,0.076,10,1.8,0.076
1.6961,6.0478e-05,-0.0001563,1,0.078,10,1.8,0.078
1.7353,6.0581e-05,-0.00016057,1,0.08,10,1.8,0.08
1.7746,6.0683e-05,-0.00016484,1,0.082,10,1.8,0.082
1.8133,6.0706e-05,-0.00016939,1,0.084,10,1.8,0.084
1.8507,6.0572e-05,-0.00017451,1,0.086,10,1.8,0.086
1.8881,6.0438e-05,-0.00017963,1,0.088,10,1.8,0.088
1.9256,6.0304e-05,-0.00018475,1,0.09,10,1.8,0.09
1.963,6.017e-05,-0.00018987,1,0.092,10,1.8,0.092
2.0005,6.0036e-05,-0.00019499,1,0.094,10,1.8,0.094
2.0379,5.9902e-05,-0.00020011,1,0.096,10,1.8,0.096
2.0753,5.9768e-05,-0.00020523,1,0.098,10,1.8,0.098
2.1128,5.9635e-05,-0.00021035,1,0.1,10,1.8,0.1
2.1485,5.9339e-05,-0.00021547,1,0.102,10,1.8,0.102
