"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-5.9232e-06,-5.5953e-07,7.0763e-07,1,0,10,0,1
0.091392,-1.7499e-06,-1.8733e-06,1,0.002,10,0.002,1
0.18279,-2.9404e-06,-4.4543e-06,1,0.004,10,0.004,1
0.27419,-4.1308e-06,-7.0353e-06,1,0.006,10,0.006,1
0.36559,-5.3212e-06,-9.6162e-06,1,0.008,10,0.008,1
0.45699,-6.5116e-06,-1.2197e-05,1,0.01,10,0.01,1
0.54838,-7.702e-06,-1.4778e-05,1,0.012,10,0.012,1
0.63978,-8.8924e-06,-1.7359e-05,1,0.014,10,0.014,1
0.73118,-1.0083e-05,-1.994e-05,1,0.016,10,0.016,1
0.82258,-1.1273e-05,-2.2521e-05,1,0.018,10,0.018,1
0.91398,-1.2464e-05,-2.5102e-05,1,0.02,10,0.02,1
1.0054,-1.3654e-05,-2.7683e-05,1,0.022,10,0.022,1
1.0968,-1.4845e-05,-3.0264e-05,1,0.024,10,0.024,1
1.1882,-1.6035e-05,-3.2845e-05,1,0.026,10,0.026,1
1.2796,-1.7225e-05,-3.5426e-05,1,0.028,10,0.028,1
1.371,-1.8416e-05,-3.8007e-05,1,0.03,10,0.03,1
1.4624,-1.9606e-05,-4.0588e-05,1,0.032,10,0.032,1
1.5538,-2.0797e-05,-4.3169e-05,1,0.034,10,0.034,1
1.6452,-2.1987e-05,-4.575e-05,1,0.036,10,0.036,1
1.7366,-2.3177e-05,-4.8331e-05,1,0.038,10,0.038,1
1.828,-2.4368e-05,-5.0912e-05,1,0.04,10,0.04,1
1.9194,-2.5558e-05,-5.3493e-05,1,0.042,10,0.042,1
2.0108,-2.6749e-05,-5.6074e-05,1,0.044,10,0.044,1
2.1022,-2.7939e-05,-5.8654e-05,1,0.046,10,0.046,1
2.1936,-2.9129e-05,-6.1235e-05,1,0.048,10,0.048,1
2.285,-3.032e-05,-6.3816e-05,1,0.05,10,0.05,1
2.3764,-3.151e-05,-6.6397e-05,1,0.052,10,0.052,1
2.4677,-3.2701e-05,-6.8978e-05,1,0.054,10,0.054,1
2.5591,-3.3891e-05,-7.1559e-05,1,0.056,10,0.056,1
2.6505,-3.5082e-05,-7.414e-05,1,0.058,10,0.058,1
2.7419,-3.6272e-05,-7.6721e-05,1,0.06,10,0.06,1
2.8333,-3.7462e-05,-7.9302e-05,1,0.062,10,0.062,1
2.9247,-3.8653e-05,-8.1883e-05,1,0.064,10,0.064,1
3.0161,-3.9843e-05,-8.4464e-05,1,0.066,10,0.066,1
3.1016,-4.0489e-05,-8.6029e-05,1,0.068,10,0.068,1
3.1841,-4.0863e-05,-8.7085e-05,1,0.07,10,0.07,1
3.2665,-4.1237e-05,-8.8141e-05,1,0.072,10,0.072,1
3.349,-4.1611e-05,-8.9197e-05,1,0.074,10,0.074,1
3.4315,-4.1985e-05,-9.0253e-05,1,0.076,10,0.076,1
3.5139,-4.2359e-05,-9.1309e-05,1,0.078,10,0.078,1
3.5964,-4.2733e-05,-9.2366e-05,1,0.08,10,0.08,1
3.6789,-4.3107e-05,-9.3422e-05,1,0.082,10,0.082,1
3.7613,-4.3481e-05,-9.4478e-05,1,0.084,10,0.084,1
3.8438,-4.3855e-05,-9.5534e-05,1,0.086,10,0.086,1
3.9263,-4.4228e-05,-9.659e-05,1,0.088,10,0.088,1
4.0088,-4.4602e-05,-9.7647e-05,1,0.09,10,0.09,1
4.0912,-4.4976e-05,-9.8703e-05,1,0.092,10,0.092,1
4.1737,-4.535e-05,-9.9759e-05,1,0.094,10,0.094,1
4.2562,-4.5724e-05,-0.00010082,1,0.096,10,0.096,1
4.3386,-4.6098e-05,-0.00010187,1,0.098,10,0.098,1
4.4211,-4.6472e-05,-0.00010293,1,0.1,10,0.1,1
4.5036,-4.6846e-05,-0.00010398,1,0.102,10,0.102,1
4.586,-4.722e-05,-0.00010504,1,0.104,10,0.104,1
4.6685,-4.7594e-05,-0.0001061,1,0.106,10,0.106,1
4.751,-4.7968e-05,-0.00010715,1,0.108,10,0.108,1
4.8335,-4.8342e-05,-0.00010821,1,0.11,10,0.11,1
4.9159,-4.8716e-05,-0.00010926,1,0.112,10,0.112,1
4.9984,-4.9089e-05,-0.00011032,1,0.114,10,0.114,1
5.0809,-4.9463e-05,-0.00011138,1,0.116,10,0.116,1
5.1633,-4.9837e-05,-0.00011243,1,0.118,10,0.118,1
5.2458,-5.0211e-05,-0.00011349,1,0.12,10,0.12,1
5.3283,-5.0585e-05,-0.00011455,1,0.122,10,0.122,1
5.4107,-5.0959e-05,-0.0001156,1,0.124,10,0.124,1
5.4932,-5.1333e-05,-0.00011666,1,0.126,10,0.126,1
5.5757,-5.1707e-05,-0.00011771,1,0.128,10,0.128,1
5.6582,-5.2081e-05,-0.00011877,1,0.13,10,0.13,1
5.7406,-5.2455e-05,-0.00011983,1,0.132,10,0.132,1
5.8203,-5.2779e-05,-0.00012061,1,0.134,10,0.134,1
5.8943,-5.3006e-05,-0.00012086,1,0.136,10,0.136,1
5.9683,-5.3232e-05,-0.0001211,1,0.138,10,0.138,1
6.0424,-5.3458e-05,-0.00012135,1,0.14,10,0.14,1
6.1164,-5.3684e-05,-0.00012159,1,0.142,10,0.142,1
6.1904,-5.391e-05,-0.00012184,1,0.144,10,0.144,1
6.2644,-5.4136e-05,-0.00012208,1,0.146,10,0.146,1
6.3385,-5.4363e-05,-0.00012233,1,0.148,10,0.148,1
6.4125,-5.4589e-05,-0.00012257,1,0.15,10,0.15,1
6.4865,-5.4815e-05,-0.00012282,1,0.152,10,0.152,1
6.5605,-5.5041e-05,-0.00012306,1,0.154,10,0.154,1
6.6346,-5.5267e-05,-0.00012331,1,0.156,10,0.156,1
6.7086,-5.5494e-05,-0.00012355,1,0.158,10,0.158,1
6.7826,-5.572e-05,-0.00012379,1,0.16,10,0.16,1
6.8567,-5.5946e-05,-0.00012404,1,0.162,10,0.162,1
6.9307,-5.6172e-05,-0.00012428,1,0.164,10,0.164,1
7.0047,-5.6398e-05,-0.00012453,1,0.166,10,0.166,1
7.0787,-5.6624e-05,-0.00012477,1,0.168,10,0.168,1
7.1528,-5.6851e-05,-0.00012502,1,0.17,10,0.17,1
7.2268,-5.7077e-05,-0.00012526,1,0.172,10,0.172,1
7.3008,-5.7303e-05,-0.00012551,1,0.174,10,0.174,1
7.3748,-5.7529e-05,-0.00012575,1,0.176,10,0.176,1
7.4489,-5.7755e-05,-0.000126,1,0.178,10,0.178,1
7.5229,-5.7982e-05,-0.00012624,1,0.18,10,0.18,1
7.5969,-5.8208e-05,-0.00012649,1,0.182,10,0.182,1
7.671,-5.8434e-05,-0.00012673,1,0.184,10,0.184,1
7.745,-5.866e-05,-0.00012698,1,0.186,10,0.186,1
7.819,-5.8886e-05,-0.00012722,1,0.188,10,0.188,1
7.893,-5.9112e-05,-0.00012747,1,0.19,10,0.19,1
7.9671,-5.9339e-05,-0.00012771,1,0.192,10,0.192,1
8.0411,-5.9565e-05,-0.00012796,1,0.194,10,0.194,1
8.1151,-5.9791e-05,-0.0001282,1,0.196,10,0.196,1
8.1891,-6.0017e-05,-0.00012845,1,0.198,10,0.198,1
8.2632,-6.0243e-05,-0.00012869,1,0.2,10,0.2,1
8.3293,-5.9852e-05,-0.00012817,1,0.202,10,0.202,1
8.3953,-5.946e-05,-0.00012765,1,0.204,10,0.204,1
8.4614,-5.9068e-05,-0.00012712,1,0.206,10,0.206,1
8.5275,-5.8676e-05,-0.0001266,1,0.208,10,0.208,1
8.5936,-5.8284e-05,-0.00012608,1,0.21,10,0.21,1
8.6597,-5.7893e-05,-0.00012555,1,0.212,10,0.212,1
8.7258,-5.7501e-05,-0.00012503,1,0.214,10,0.214,1
8.7919,-5.7109e-05,-0.00012451,1,0.216,10,0.216,1
8.858,-5.6717e-05,-0.00012398,1,0.218,10,0.218,1
8.924,-5.6326e-05,-0.00012346,1,0.22,10,0.22,1
8.9901,-5.5934e-05,-0.00012294,1,0.222,10,0.222,1
9.0562,-5.5542e-05,-0.00012242,1,0.224,10,0.224,1
9.1223,-5.515e-05,-0.00012189,1,0.226,10,0.226,1
9.1884,-5.4759e-05,-0.00012137,1,0.228,10,0.228,1
9.2545,-5.4367e-05,-0.00012085,1,0.23,10,0.23,1
9.3206,-5.3975e-05,-0.00012032,1,0.232,10,0.232,1
9.3866,-5.3583e-05,-0.0001198,1,0.234,10,0.234,1
