"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.00013793,3.1425e-06,-0.00016797,1,0,10,0,1
0.7918,-0.00011014,0.00013645,1,0.002,10,0.002,1
1.5837,-0.00022343,0.00044087,1,0.004,10,0.004,1
2.3757,-0.00033672,0.00074529,1,0.006,10,0.006,1
3.1676,-0.00045001,0.0010497,1,0.008,10,0.008,1
3.9595,-0.00056329,0.0013541,1,0.01,10,0.01,1
4.7515,-0.00067658,0.0016585,1,0.012,10,0.012,1
5.5434,-0.00078987,0.001963,1,0.014,10,0.014,1
6.3353,-0.00090315,0.0022674,1,0.016,10,0.016,1
7.1273,-0.0010164,0.0025718,1,0.018,10,0.018,1
7.9192,-0.0011297,0.0028762,1,0.02,10,0.02,1
8.1628,-0.0011031,0.0028513,1,0.022,10,0.022,1
8.4063,-0.0010764,0.0028264,1,0.024,10,0.024,1
8.6499,-0.0010497,0.0028016,1,0.026,10,0.026,1
8.8934,-0.001023,0.0027767,1,0.028,10,0.028,1
9.137,-0.00099635,0.0027518,1,0.03,10,0.03,1
9.3806,-0.00096968,0.0027269,1,0.032,10,0.032,1
9.6241,-0.000943,0.002702,1,0.034,10,0.034,1
9.8677,-0.00091633,0.0026771,1,0.036,10,0.036,1
10.111,-0.00088966,0.0026522,1,0.038,10,0.038,1
10.355,-0.00086298,0.0026274,1,0.04,10,0.04,1
10.43,-0.00082537,0.0026171,1,0.042,10,0.042,1
10.506,-0.00078776,0.0026068,1,0.044,10,0.044,1
10.581,-0.00075016,0.0025965,1,0.046,10,0.046,1
10.656,-0.00071255,0.0025863,1,0.048,10,0.048,1
10.732,-0.00067494,0.002576,1,0.05,10,0.05,1
10.807,-0.00063733,0.0025657,1,0.052,10,0.052,1
10.883,-0.00059972,0.0025555,1,0.054,10,0.054,1
10.958,-0.00056211,0.0025452,1,0.056,10,0.056,1
11.034,-0.0005245,0.0025349,1,0.058,10,0.058,1
11.109,-0.00048689,0.0025246,1,0.06,10,0.06,1
11.133,-0.00046154,0.0025245,1,0.062,10,0.062,1
11.156,-0.00043619,0.0025243,1,0.064,10,0.064,1
11.18,-0.00041084,0.0025241,1,0.066,10,0.066,1
11.204,-0.00038549,0.0025239,1,0.068,10,0.068,1
11.227,-0.00036014,0.0025238,1,0.07,10,0.07,1
11.251,-0.00033479,0.0025236,1,0.072,10,0.072,1
11.275,-0.00030944,0.0025234,1,0.074,10,0.074,1
11.298,-0.00028409,0.0025232,1,0.076,10,0.076,1
11.322,-0.00025874,0.002523,1,0.078,10,0.078,1
11.346,-0.00023339,0.0025229,1,0.08,10,0.08,1
11.353,-0.00021883,0.0025239,1,0.082,10,0.082,1
11.361,-0.00020427,0.0025249,1,0.084,10,0.084,1
11.368,-0.00018971,0.002526,1,0.086,10,0.086,1
11.376,-0.00017514,0.002527,1,0.088,10,0.088,1
11.383,-0.00016058,0.002528,1,0.09,10,0.09,1
11.391,-0.00014602,0.0025291,1,0.092,10,0.092,1
11.398,-0.00013146,0.0025301,1,0.094,10,0.094,1
11.406,-0.00011689,0.0025311,1,0.096,10,0.096,1
11.414,-0.00010233,0.0025322,1,0.098,10,0.098,1
11.421,-8.7769e-05,0.0025332,1,0.1,10,0.1,1
11.424,-7.9818e-05,0.0025339,1,0.102,10,0.102,1
11.426,-7.1867e-05,0.0025346,1,0.104,10,0.104,1
11.429,-6.3916e-05,0.0025353,1,0.106,10,0.106,1
11.431,-5.5964e-05,0.0025361,1,0.108,10,0.108,1
11.434,-4.8013e-05,0.0025368,1,0.11,10,0.11,1
11.436,-4.0062e-05,0.0025375,1,0.112,10,0.112,1
11.439,-3.2111e-05,0.0025382,1,0.114,10,0.114,1
11.441,-2.4159e-05,0.0025389,1,0.116,10,0.116,1
11.443,-1.6208e-05,0.0025396,1,0.118,10,0.118,1
11.446,-8.2568e-06,0.0025403,1,0.12,10,0.12,1
