"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.00045604,-1.3545e-06,0.00029968,1,0,10,0,1
0.22469,-1.5401e-05,0.00027773,1,0.002,10,0.002,1
0.44984,-2.9446e-05,0.00025577,1,0.004,10,0.004,1
0.67499,-4.3492e-05,0.00023382,1,0.006,10,0.006,1
0.90014,-5.7538e-05,0.00021187,1,0.008,10,0.008,1
1.1253,-7.1584e-05,0.00018991,1,0.01,10,0.01,1
1.3504,-8.563e-05,0.00016796,1,0.012,10,0.012,1
1.5756,-9.9676e-05,0.00014601,1,0.014,10,0.014,1
1.8007,-0.00011372,0.00012405,1,0.016,10,0.016,1
2.0259,-0.00012777,0.0001021,1,0.018,10,0.018,1
2.251,-0.00014181,8.0145e-05,1,0.02,10,0.02,1
2.4762,-0.00015586,5.8192e-05,1,0.022,10,0.022,1
2.7013,-0.00016991,3.6238e-05,1,0.024,10,0.024,1
2.9265,-0.00018395,1.4285e-05,1,0.026,10,0.026,1
3.1516,-0.000198,-7.6687e-06,1,0.028,10,0.028,1
3.3768,-0.00021204,-2.9622e-05,1,0.03,10,0.03,1
3.6019,-0.00022609,-5.1576e-05,1,0.032,10,0.032,1
3.8271,-0.00024014,-7.3529e-05,1,0.034,10,0.034,1
4.0522,-0.00025418,-9.5483e-05,1,0.036,10,0.036,1
4.2774,-0.00026823,-0.00011744,1,0.038,10,0.038,1
4.5025,-0.00028227,-0.00013939,1,0.04,10,0.04,1
4.7277,-0.00029632,-0.00016134,1,0.042,10,0.042,1
4.9528,-0.00031037,-0.0001833,1,0.044,10,0.044,1
5.178,-0.00032441,-0.00020525,1,0.046,10,0.046,1
5.4031,-0.00033846,-0.0002272,1,0.048,10,0.048,1
5.6283,-0.0003525,-0.00024916,1,0.05,10,0.05,1
5.7655,-0.00035371,-0.00025297,1,0.052,10,0.052,1
5.9027,-0.00035492,-0.00025678,1,0.054,10,0.054,1
6.0399,-0.00035613,-0.00026059,1,0.056,10,0.056,1
6.1771,-0.00035734,-0.0002644,1,0.058,10,0.058,1
6.3143,-0.00035855,-0.00026821,1,0.06,10,0.06,1
6.4515,-0.00035976,-0.00027202,1,0.062,10,0.062,1
6.5887,-0.00036096,-0.00027583,1,0.064,10,0.064,1
6.7259,-0.00036217,-0.00027964,1,0.066,10,0.066,1
6.8631,-0.00036338,-0.00028345,1,0.068,10,0.068,1
7.0002,-0.00036459,-0.00028726,1,0.07,10,0.07,1
7.1374,-0.0003658,-0.00029107,1,0.072,10,0.072,1
7.2746,-0.00036701,-0.00029488,1,0.074,10,0.074,1
7.4118,-0.00036822,-0.00029869,1,0.076,10,0.076,1
7.549,-0.00036942,-0.0003025,1,0.078,10,0.078,1
7.6862,-0.00037063,-0.00030631,1,0.08,10,0.08,1
7.8234,-0.00037184,-0.00031012,1,0.082,10,0.082,1
7.9606,-0.00037305,-0.00031393,1,0.084,10,0.084,1
8.0978,-0.00037426,-0.00031775,1,0.086,10,0.086,1
8.235,-0.00037547,-0.00032156,1,0.088,10,0.088,1
8.3722,-0.00037668,-0.00032537,1,0.09,10,0.09,1
8.5094,-0.00037789,-0.00032918,1,0.092,10,0.092,1
8.6466,-0.00037909,-0.00033299,1,0.094,10,0.094,1
8.7838,-0.0003803,-0.0003368,1,0.096,10,0.096,1
8.921,-0.00038151,-0.00034061,1,0.098,10,0.098,1
9.0582,-0.00038272,-0.00034442,1,0.1,10,0.1,1
9.1422,-0.00037836,-0.00034566,1,0.102,10,0.102,1
9.2262,-0.000374,-0.0003469,1,0.104,10,0.104,1
9.3102,-0.00036964,-0.00034814,1,0.106,10,0.106,1
9.3942,-0.00036528,-0.00034938,1,0.108,10,0.108,1
9.4782,-0.00036092,-0.00035062,1,0.11,10,0.11,1
