"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.21022,-1.5494e-06,-0.13223,1,0,10,0,1
0.75115,-0.00030629,-0.12064,1,0.002,10,0.002,1
1.7125,-0.00061102,-0.10905,1,0.004,10,0.004,1
2.6739,-0.00091576,-0.097462,1,0.006,10,0.006,1
3.6353,-0.0012205,-0.085874,1,0.008,10,0.008,1
4.5966,-0.0015252,-0.074286,1,0.01,10,0.01,1
5.558,-0.00183,-0.062699,1,0.012,10,0.012,1
6.5194,-0.0021347,-0.051111,1,0.014,10,0.014,1
7.4808,-0.0024394,-0.039523,1,0.016,10,0.016,1
8.4421,-0.0027442,-0.027935,1,0.018,10,0.018,1
9.4035,-0.0030489,-0.016347,1,0.02,10,0.02,1
9.5541,-0.0028686,-0.014416,1,0.022,10,0.022,1
9.7047,-0.0026883,-0.012485,1,0.024,10,0.024,1
9.8553,-0.002508,-0.010554,1,0.026,10,0.026,1
10.006,-0.0023277,-0.0086231,1,0.028,10,0.028,1
10.156,-0.0021474,-0.0066921,1,0.03,10,0.03,1
10.307,-0.0019671,-0.0047611,1,0.032,10,0.032,1
10.458,-0.0017868,-0.0028302,1,0.034,10,0.034,1
10.608,-0.0016065,-0.00089918,1,0.036,10,0.036,1
10.759,-0.0014262,0.0010318,1,0.038,10,0.038,1
10.909,-0.0012459,0.0029628,1,0.04,10,0.04,1
10.934,-0.0011624,0.0032698,1,0.042,10,0.042,1
10.96,-0.0010789,0.0035767,1,0.044,10,0.044,1
10.985,-0.00099535,0.0038837,1,0.046,10,0.046,1
11.01,-0.00091183,0.0041907,1,0.048,10,0.048,1
11.035,-0.00082831,0.0044977,1,0.05,10,0.05,1
11.06,-0.00074479,0.0048047,1,0.052,10,0.052,1
11.085,-0.00066127,0.0051116,1,0.054,10,0.054,1
11.11,-0.00057776,0.0054186,1,0.056,10,0.056,1
11.136,-0.00049424,0.0057256,1,0.058,10,0.058,1
11.161,-0.00041072,0.0060326,1,0.06,10,0.06,1
11.165,-0.00038196,0.006085,1,0.062,10,0.062,1
11.17,-0.0003532,0.0061374,1,0.064,10,0.064,1
11.175,-0.00032444,0.0061899,1,0.066,10,0.066,1
11.18,-0.00029567,0.0062423,1,0.068,10,0.068,1
11.184,-0.00026691,0.0062947,1,0.07,10,0.07,1
11.189,-0.00023815,0.0063472,1,0.072,10,0.072,1
11.194,-0.00020939,0.0063996,1,0.074,10,0.074,1
11.198,-0.00018063,0.006452,1,0.076,10,0.076,1
11.203,-0.00015187,0.0065045,1,0.078,10,0.078,1
11.208,-0.00012311,0.0065569,1,0.08,10,0.08,1
11.209,-0.00011477,0.0065688,1,0.082,10,0.082,1
11.21,-0.00010643,0.0065807,1,0.084,10,0.084,1
11.211,-9.8086e-05,0.0065926,1,0.086,10,0.086,1
11.212,-8.9745e-05,0.0066045,1,0.088,10,0.088,1
11.213,-8.1404e-05,0.0066164,1,0.09,10,0.09,1
11.214,-7.3062e-05,0.0066283,1,0.092,10,0.092,1
11.215,-6.4721e-05,0.0066402,1,0.094,10,0.094,1
11.216,-5.638e-05,0.0066521,1,0.096,10,0.096,1
11.216,-4.8038e-05,0.006664,1,0.098,10,0.098,1
11.217,-3.9697e-05,0.0066759,1,0.1,10,0.1,1
11.218,-3.7764e-05,0.0066799,1,0.102,10,0.102,1
11.218,-3.583e-05,0.0066839,1,0.104,10,0.104,1
11.218,-3.3897e-05,0.0066878,1,0.106,10,0.106,1
11.218,-3.1964e-05,0.0066918,1,0.108,10,0.108,1
11.219,-3.0031e-05,0.0066958,1,0.11,10,0.11,1
11.219,-2.8098e-05,0.0066998,1,0.112,10,0.112,1
11.219,-2.6165e-05,0.0067038,1,0.114,10,0.114,1
11.219,-2.4231e-05,0.0067078,1,0.116,10,0.116,1
11.219,-2.2298e-05,0.0067118,1,0.118,10,0.118,1
11.22,-2.0365e-05,0.0067158,1,0.12,10,0.12,1
11.22,-2.0409e-05,0.0067172,1,0.122,10,0.122,1
11.22,-2.0452e-05,0.0067187,1,0.124,10,0.124,1
