"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.00027797,-4.5713e-07,-8.6464e-07,1,0,10,1.6,0
1.8244,8.7308e-06,-0.0006711,1,0.002,10,1.6,0.002
3.649,1.7919e-05,-0.0013413,1,0.004,10,1.6,0.004
5.4736,2.7107e-05,-0.0020116,1,0.006,10,1.6,0.006
7.2983,3.6294e-05,-0.0026818,1,0.008,10,1.6,0.008
9.1229,4.5482e-05,-0.003352,1,0.01,10,1.6,0.01
10.948,5.467e-05,-0.0040223,1,0.012,10,1.6,0.012
12.772,6.3858e-05,-0.0046925,1,0.014,10,1.6,0.014
14.597,7.3046e-05,-0.0053627,1,0.016,10,1.6,0.016
16.421,8.2234e-05,-0.006033,1,0.018,10,1.6,0.018
18.246,9.1422e-05,-0.0067032,1,0.02,10,1.6,0.02
19.491,7.6823e-05,-0.0063731,1,0.022,10,1.6,0.022
20.736,6.2224e-05,-0.006043,1,0.024,10,1.6,0.024
21.98,4.7625e-05,-0.0057129,1,0.026,10,1.6,0.026
23.225,3.3025e-05,-0.0053828,1,0.028,10,1.6,0.028
24.47,1.8426e-05,-0.0050527,1,0.03,10,1.6,0.03
25.715,3.8273e-06,-0.0047226,1,0.032,10,1.6,0.032
26.959,-1.0772e-05,-0.0043925,1,0.034,10,1.6,0.034
28.204,-2.5371e-05,-0.0040624,1,0.036,10,1.6,0.036
29.449,-3.997e-05,-0.0037323,1,0.038,10,1.6,0.038
30.694,-5.4569e-05,-0.0034022,1,0.04,10,1.6,0.04
31.397,-6.8802e-05,-0.0033433,1,0.042,10,1.6,0.042
32.101,-8.3035e-05,-0.0032844,1,0.044,10,1.6,0.044
32.804,-9.7268e-05,-0.0032255,1,0.046,10,1.6,0.046
33.508,-0.0001115,-0.0031666,1,0.048,10,1.6,0.048
34.212,-0.00012573,-0.0031077,1,0.05,10,1.6,0.05
34.915,-0.00013997,-0.0030488,1,0.052,10,1.6,0.052
35.619,-0.0001542,-0.0029899,1,0.054,10,1.6,0.054
36.322,-0.00016843,-0.002931,1,0.056,10,1.6,0.056
37.026,-0.00018267,-0.0028721,1,0.058,10,1.6,0.058
37.73,-0.0001969,-0.0028132,1,0.06,10,1.6,0.06
38.043,-0.00022018,-0.0027043,1,0.062,10,1.6,0.062
38.356,-0.00024345,-0.0025954,1,0.064,10,1.6,0.064
38.67,-0.00026673,-0.0024866,1,0.066,10,1.6,0.066
38.983,-0.00029001,-0.0023777,1,0.068,10,1.6,0.068
39.297,-0.00031328,-0.0022688,1,0.07,10,1.6,0.07
39.61,-0.00033656,-0.00216,1,0.072,10,1.6,0.072
39.923,-0.00035984,-0.0020511,1,0.074,10,1.6,0.074
40.237,-0.00038311,-0.0019422,1,0.076,10,1.6,0.076
40.55,-0.00040639,-0.0018334,1,0.078,10,1.6,0.078
40.863,-0.00042967,-0.0017245,1,0.08,10,1.6,0.08
40.886,-0.00045329,-0.0016524,1,0.082,10,1.6,0.082
40.908,-0.00047691,-0.0015804,1,0.084,10,1.6,0.084
40.93,-0.00050053,-0.0015083,1,0.086,10,1.6,0.086
40.953,-0.00052415,-0.0014362,1,0.088,10,1.6,0.088
40.975,-0.00054778,-0.0013641,1,0.09,10,1.6,0.09
40.997,-0.0005714,-0.0012921,1,0.092,10,1.6,0.092
41.019,-0.00059502,-0.00122,1,0.094,10,1.6,0.094
41.042,-0.00061864,-0.0011479,1,0.096,10,1.6,0.096
41.064,-0.00064226,-0.0010758,1,0.098,10,1.6,0.098
41.086,-0.00066589,-0.0010038,1,0.1,10,1.6,0.1
40.909,-0.0006884,-0.00094775,1,0.102,10,1.6,0.102
40.732,-0.00071092,-0.00089175,1,0.104,10,1.6,0.104
40.554,-0.00073343,-0.00083575,1,0.106,10,1.6,0.106
40.377,-0.00075595,-0.00077974,1,0.108,10,1.6,0.108
40.2,-0.00077847,-0.00072374,1,0.11,10,1.6,0.11
40.022,-0.00080098,-0.00066773,1,0.112,10,1.6,0.112
39.845,-0.0008235,-0.00061173,1,0.114,10,1.6,0.114
39.668,-0.00084601,-0.00055573,1,0.116,10,1.6,0.116
39.49,-0.00086853,-0.00049972,1,0.118,10,1.6,0.118
39.313,-0.00089105,-0.00044372,1,0.12,10,1.6,0.12
39.008,-0.00091044,-0.00040958,1,0.122,10,1.6,0.122
38.702,-0.00092984,-0.00037545,1,0.124,10,1.6,0.124
