"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.00020673,-3.4895e-07,6.0598e-07,1,0,10,1.8,0
1.3534,4.5422e-05,-0.00051907,1,0.002,10,1.8,0.002
2.707,9.1194e-05,-0.0010388,1,0.004,10,1.8,0.004
4.0607,0.00013696,-0.0015584,1,0.006,10,1.8,0.006
5.4143,0.00018274,-0.0020781,1,0.008,10,1.8,0.008
6.7679,0.00022851,-0.0025978,1,0.01,10,1.8,0.01
8.1215,0.00027428,-0.0031175,1,0.012,10,1.8,0.012
9.4752,0.00032005,-0.0036371,1,0.014,10,1.8,0.014
10.829,0.00036582,-0.0041568,1,0.016,10,1.8,0.016
12.182,0.00041159,-0.0046765,1,0.018,10,1.8,0.018
13.536,0.00045736,-0.0051962,1,0.02,10,1.8,0.02
14.358,0.00045186,-0.0049362,1,0.022,10,1.8,0.022
15.179,0.00044635,-0.0046762,1,0.024,10,1.8,0.024
16.001,0.00044084,-0.0044162,1,0.026,10,1.8,0.026
16.823,0.00043533,-0.0041561,1,0.028,10,1.8,0.028
17.644,0.00042982,-0.0038961,1,0.03,10,1.8,0.03
18.466,0.00042432,-0.0036361,1,0.032,10,1.8,0.032
19.288,0.00041881,-0.0033761,1,0.034,10,1.8,0.034
20.109,0.0004133,-0.0031161,1,0.036,10,1.8,0.036
20.931,0.00040779,-0.0028561,1,0.038,10,1.8,0.038
21.753,0.00040228,-0.0025961,1,0.04,10,1.8,0.04
22.134,0.00037604,-0.0025468,1,0.042,10,1.8,0.042
22.515,0.00034979,-0.0024975,1,0.044,10,1.8,0.044
22.897,0.00032355,-0.0024482,1,0.046,10,1.8,0.046
23.278,0.0002973,-0.002399,1,0.048,10,1.8,0.048
23.66,0.00027106,-0.0023497,1,0.05,10,1.8,0.05
24.041,0.00024481,-0.0023004,1,0.052,10,1.8,0.052
24.422,0.00021856,-0.0022511,1,0.054,10,1.8,0.054
24.804,0.00019232,-0.0022018,1,0.056,10,1.8,0.056
25.185,0.00016607,-0.0021526,1,0.058,10,1.8,0.058
25.566,0.00013983,-0.0021033,1,0.06,10,1.8,0.06
25.668,0.0001014,-0.0020117,1,0.062,10,1.8,0.062
25.77,6.2963e-05,-0.00192,1,0.064,10,1.8,0.064
25.872,2.4531e-05,-0.0018284,1,0.066,10,1.8,0.066
25.973,-1.3902e-05,-0.0017368,1,0.068,10,1.8,0.068
26.075,-5.2334e-05,-0.0016452,1,0.07,10,1.8,0.07
26.177,-9.0767e-05,-0.0015536,1,0.072,10,1.8,0.072
26.279,-0.0001292,-0.001462,1,0.074,10,1.8,0.074
26.38,-0.00016763,-0.0013703,1,0.076,10,1.8,0.076
26.482,-0.00020606,-0.0012787,1,0.078,10,1.8,0.078
26.584,-0.0002445,-0.0011871,1,0.08,10,1.8,0.08
26.505,-0.00028101,-0.0011216,1,0.082,10,1.8,0.082
26.426,-0.00031753,-0.0010561,1,0.084,10,1.8,0.084
26.348,-0.00035405,-0.00099063,1,0.086,10,1.8,0.086
26.269,-0.00039056,-0.00092513,1,0.088,10,1.8,0.088
26.19,-0.00042708,-0.00085964,1,0.09,10,1.8,0.09
26.112,-0.0004636,-0.00079414,1,0.092,10,1.8,0.092
26.033,-0.00050011,-0.00072865,1,0.094,10,1.8,0.094
25.954,-0.00053663,-0.00066315,1,0.096,10,1.8,0.096
25.876,-0.00057315,-0.00059766,1,0.098,10,1.8,0.098
25.797,-0.00060966,-0.00053217,1,0.1,10,1.8,0.1
25.615,-0.00064002,-0.0004771,1,0.102,10,1.8,0.102
25.433,-0.00067039,-0.00042204,1,0.104,10,1.8,0.104
25.251,-0.00070075,-0.00036697,1,0.106,10,1.8,0.106
25.069,-0.00073111,-0.00031191,1,0.108,10,1.8,0.108
24.887,-0.00076147,-0.00025684,1,0.11,10,1.8,0.11
24.705,-0.00079183,-0.00020178,1,0.112,10,1.8,0.112
24.523,-0.00082219,-0.00014671,1,0.114,10,1.8,0.114
24.341,-0.00085255,-9.1646e-05,1,0.116,10,1.8,0.116
24.159,-0.00088292,-3.6581e-05,1,0.118,10,1.8,0.118
23.977,-0.00091328,1.8484e-05,1,0.12,10,1.8,0.12
23.742,-0.00093586,5.7555e-05,1,0.122,10,1.8,0.122
23.508,-0.00095843,9.6625e-05,1,0.124,10,1.8,0.124
23.273,-0.00098101,0.00013569,1,0.126,10,1.8,0.126
23.039,-0.0010036,0.00017476,1,0.128,10,1.8,0.128
22.804,-0.0010262,0.00021383,1,0.13,10,1.8,0.13
22.569,-0.0010487,0.0002529,1,0.132,10,1.8,0.132
22.335,-0.0010713,0.00029197,1,0.134,10,1.8,0.134
22.1,-0.0010939,0.00033105,1,0.136,10,1.8,0.136
21.866,-0.0011165,0.00037011,1,0.138,10,1.8,0.138
21.631,-0.0011391,0.00040919,1,0.14,10,1.8,0.14
21.378,-0.0011545,0.00043361,1,0.142,10,1.8,0.142
21.124,-0.0011699,0.00045803,1,0.144,10,1.8,0.144
20.87,-0.0011854,0.00048246,1,0.146,10,1.8,0.146
20.617,-0.0012008,0.00050688,1,0.148,10,1.8,0.148
20.363,-0.0012163,0.00053131,1,0.15,10,1.8,0.15
20.109,-0.0012317,0.00055573,1,0.152,10,1.8,0.152
19.856,-0.0012472,0.00058016,1,0.154,10,1.8,0.154
19.602,-0.0012626,0.00060458,1,0.156,10,1.8,0.156
