"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.00037719,-2.5579e-07,-4.0214e-06,1,0,10,1.2,0
2.2284,-1.2579e-05,-0.00080214,1,0.002,10,1.2,0.002
4.4572,-2.4902e-05,-0.0016003,1,0.004,10,1.2,0.004
6.686,-3.7225e-05,-0.0023984,1,0.006,10,1.2,0.006
8.9148,-4.9547e-05,-0.0031965,1,0.008,10,1.2,0.008
11.144,-6.187e-05,-0.0039946,1,0.01,10,1.2,0.01
13.372,-7.4193e-05,-0.0047927,1,0.012,10,1.2,0.012
15.601,-8.6516e-05,-0.0055908,1,0.014,10,1.2,0.014
17.83,-9.8839e-05,-0.0063889,1,0.016,10,1.2,0.016
20.059,-0.00011116,-0.0071871,1,0.018,10,1.2,0.018
22.288,-0.00012348,-0.0079852,1,0.02,10,1.2,0.02
23.91,-0.00014631,-0.0075943,1,0.022,10,1.2,0.022
25.532,-0.00016913,-0.0072035,1,0.024,10,1.2,0.024
27.154,-0.00019195,-0.0068127,1,0.026,10,1.2,0.026
28.776,-0.00021478,-0.0064218,1,0.028,10,1.2,0.028
30.398,-0.0002376,-0.006031,1,0.03,10,1.2,0.03
32.021,-0.00026043,-0.0056401,1,0.032,10,1.2,0.032
33.643,-0.00028325,-0.0052493,1,0.034,10,1.2,0.034
35.265,-0.00030607,-0.0048584,1,0.036,10,1.2,0.036
36.887,-0.00032889,-0.0044676,1,0.038,10,1.2,0.038
38.509,-0.00035172,-0.0040768,1,0.04,10,1.2,0.04
39.525,-0.00035732,-0.0040049,1,0.042,10,1.2,0.042
40.54,-0.00036293,-0.0039331,1,0.044,10,1.2,0.044
41.556,-0.00036853,-0.0038613,1,0.046,10,1.2,0.046
42.571,-0.00037413,-0.0037895,1,0.048,10,1.2,0.048
43.587,-0.00037974,-0.0037177,1,0.05,10,1.2,0.05
44.602,-0.00038534,-0.0036459,1,0.052,10,1.2,0.052
45.618,-0.00039095,-0.003574,1,0.054,10,1.2,0.054
46.634,-0.00039655,-0.0035022,1,0.056,10,1.2,0.056
47.649,-0.00040216,-0.0034304,1,0.058,10,1.2,0.058
48.665,-0.00040776,-0.0033586,1,0.06,10,1.2,0.06
49.214,-0.00041621,-0.0032303,1,0.062,10,1.2,0.062
49.764,-0.00042466,-0.0031021,1,0.064,10,1.2,0.064
50.313,-0.00043311,-0.0029738,1,0.066,10,1.2,0.066
50.863,-0.00044156,-0.0028456,1,0.068,10,1.2,0.068
51.413,-0.00045001,-0.0027173,1,0.07,10,1.2,0.07
51.962,-0.00045846,-0.0025891,1,0.072,10,1.2,0.072
52.512,-0.00046691,-0.0024608,1,0.074,10,1.2,0.074
53.061,-0.00047536,-0.0023326,1,0.076,10,1.2,0.076
53.611,-0.00048381,-0.0022043,1,0.078,10,1.2,0.078
54.16,-0.00049226,-0.0020761,1,0.08,10,1.2,0.08
54.335,-0.00049867,-0.0019962,1,0.082,10,1.2,0.082
54.509,-0.00050507,-0.0019163,1,0.084,10,1.2,0.084
54.684,-0.00051147,-0.0018364,1,0.086,10,1.2,0.086
54.858,-0.00051787,-0.0017565,1,0.088,10,1.2,0.088
55.033,-0.00052427,-0.0016766,1,0.09,10,1.2,0.09
55.208,-0.00053067,-0.0015967,1,0.092,10,1.2,0.092
55.382,-0.00053708,-0.0015168,1,0.094,10,1.2,0.094
55.557,-0.00054348,-0.0014369,1,0.096,10,1.2,0.096
55.731,-0.00054988,-0.001357,1,0.098,10,1.2,0.098
55.906,-0.00055628,-0.0012771,1,0.1,10,1.2,0.1
55.798,-0.00056253,-0.0012218,1,0.102,10,1.2,0.102
55.69,-0.00056878,-0.0011666,1,0.104,10,1.2,0.104
55.582,-0.00057502,-0.0011113,1,0.106,10,1.2,0.106
55.474,-0.00058127,-0.0010561,1,0.108,10,1.2,0.108
55.366,-0.00058752,-0.0010008,1,0.11,10,1.2,0.11
55.258,-0.00059377,-0.00094556,1,0.112,10,1.2,0.112
55.15,-0.00060001,-0.0008903,1,0.114,10,1.2,0.114
55.042,-0.00060626,-0.00083504,1,0.116,10,1.2,0.116
54.935,-0.00061251,-0.00077978,1,0.118,10,1.2,0.118
54.827,-0.00061876,-0.00072453,1,0.12,10,1.2,0.12
54.515,-0.0006245,-0.00069991,1,0.122,10,1.2,0.122
54.204,-0.00063024,-0.00067529,1,0.124,10,1.2,0.124
53.892,-0.00063598,-0.00065068,1,0.126,10,1.2,0.126
53.581,-0.00064172,-0.00062606,1,0.128,10,1.2,0.128
53.27,-0.00064746,-0.00060145,1,0.13,10,1.2,0.13
52.958,-0.0006532,-0.00057683,1,0.132,10,1.2,0.132
52.647,-0.00065894,-0.00055221,1,0.134,10,1.2,0.134
52.335,-0.00066468,-0.0005276,1,0.136,10,1.2,0.136
52.024,-0.00067042,-0.00050298,1,0.138,10,1.2,0.138
51.713,-0.00067616,-0.00047836,1,0.14,10,1.2,0.14
51.266,-0.00068126,-0.00048061,1,0.142,10,1.2,0.142
50.819,-0.00068637,-0.00048286,1,0.144,10,1.2,0.144
50.372,-0.00069148,-0.0004851,1,0.146,10,1.2,0.146
49.926,-0.00069659,-0.00048735,1,0.148,10,1.2,0.148
49.479,-0.0007017,-0.00048959,1,0.15,10,1.2,0.15
49.032,-0.00070681,-0.00049184,1,0.152,10,1.2,0.152
48.586,-0.00071192,-0.00049409,1,0.154,10,1.2,0.154
48.139,-0.00071703,-0.00049633,1,0.156,10,1.2,0.156
47.692,-0.00072214,-0.00049858,1,0.158,10,1.2,0.158
47.245,-0.00072725,-0.00050083,1,0.16,10,1.2,0.16
46.72,-0.00073134,-0.00052658,1,0.162,10,1.2,0.162
46.194,-0.00073543,-0.00055233,1,0.164,10,1.2,0.164
45.669,-0.00073951,-0.00057809,1,0.166,10,1.2,0.166
45.144,-0.0007436,-0.00060384,1,0.168,10,1.2,0.168
44.618,-0.00074769,-0.0006296,1,0.17,10,1.2,0.17
44.093,-0.00075177,-0.00065535,1,0.172,10,1.2,0.172
43.567,-0.00075586,-0.00068111,1,0.174,10,1.2,0.174
43.042,-0.00075995,-0.00070686,1,0.176,10,1.2,0.176
42.516,-0.00076404,-0.00073261,1,0.178,10,1.2,0.178
41.991,-0.00076812,-0.00075837,1,0.18,10,1.2,0.18
41.432,-0.0007709,-0.000802,1,0.182,10,1.2,0.182
40.873,-0.00077367,-0.00084563,1,0.184,10,1.2,0.184
40.314,-0.00077644,-0.00088926,1,0.186,10,1.2,0.186
39.755,-0.00077921,-0.00093289,1,0.188,10,1.2,0.188
39.196,-0.00078199,-0.00097652,1,0.19,10,1.2,0.19
38.637,-0.00078476,-0.0010202,1,0.192,10,1.2,0.192
38.078,-0.00078753,-0.0010638,1,0.194,10,1.2,0.194
37.519,-0.00079031,-0.0011074,1,0.196,10,1.2,0.196
36.96,-0.00079308,-0.001151,1,0.198,10,1.2,0.198
36.401,-0.00079585,-0.0011947,1,0.2,10,1.2,0.2
35.844,-0.00079707,-0.0012496,1,0.202,10,1.2,0.202
35.286,-0.00079829,-0.0013046,1,0.204,10,1.2,0.204
34.729,-0.0007995,-0.0013596,1,0.206,10,1.2,0.206
34.171,-0.00080072,-0.0014145,1,0.208,10,1.2,0.208
33.614,-0.00080194,-0.0014695,1,0.21,10,1.2,0.21
33.057,-0.00080316,-0.0015245,1,0.212,10,1.2,0.212
32.499,-0.00080438,-0.0015794,1,0.214,10,1.2,0.214
31.942,-0.00080559,-0.0016344,1,0.216,10,1.2,0.216
31.384,-0.00080681,-0.0016893,1,0.218,10,1.2,0.218
